,year,season,jp_title,en_title,img,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Demographic,Theme,Genre,German,Spanish,French
10,2024,winter,Dosanko Gal wa Namara Menkoi,Hokkaido Gals Are Super Adorable!,https://cdn.myanimelist.net/images/anime/1937/136906.jpg,Dosanko Gyaru Is Mega Cute,道産子ギャルはなまらめんこい,Hokkaido Gals Are Super Adorable!,TV,12,Finished Airing,"Jan 9, 2024 to Mar 26, 2024",Winter 2024,Tuesdays at 00,"TV Tokyo,       Pony Canyon,       DMM.com,       Bit grooove promotion,       Television Hokkaido Broadcasting","None found, add some","SILVER LINK.,       Blade",Manga,"ComedyComedy,         RomanceRomance","Love Status QuoLove Status Quo,         SchoolSchool",24 min. per ep.,PG-13 - Teens 13 or older,"7.031 (scored by 8184481,844 users)
      


1
          indicates a weighted score.","#42712

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1375,"185,988",982,ShounenShounen,,,,,
11,2024,winter,Nozomanu Fushi no Boukensha,The Unwanted Undead Adventurer,https://cdn.myanimelist.net/images/anime/1008/140287.jpg,,望まぬ不死の冒険者,The Unwanted Undead Adventurer,TV,12,Finished Airing,"Jan 8, 2024 to Mar 25, 2024",Winter 2024,Mondays at 21,"Marvelous Entertainment,       Pony Canyon,       Hakuhodo DY Music & Pictures,       Docomo Anime Store,       Overlap,       BS NTV,       Bit grooove promotion,       Natsume Atari","None found, add some",Connect,Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy",,23 min. per ep.,PG-13 - Teens 13 or older,"7.431 (scored by 9334693,346 users)
      


1
          indicates a weighted score.","#22212

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1407,"178,707",760,,,,,,
12,2024,winter,Ninja Kamui,,https://cdn.myanimelist.net/images/anime/1142/141351.jpg,,,,TV,13,Finished Airing,"Feb 11, 2024 to May 5, 2024",Winter 2024,Sundays at 08,Sola Entertainment,"None found, add some",E&H Production,Original,"ActionAction,         Sci-FiSci-Fi","Adult CastAdult Cast,         GoreGore,         Super PowerSuper Power",23 min. per ep.,R - 17+ (violence & profanity),"6.661 (scored by 6794367,943 users)
      


1
          indicates a weighted score.","#61522

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1409,"178,636","1,082",,,,,,
13,2024,winter,Mahou Shoujo ni Akogarete,Gushing over Magical Girls,https://cdn.myanimelist.net/images/anime/1525/139345.jpg,"Mahoako, Looking up to Magical Girls, I Admire Magical Girls, and...",魔法少女にあこがれて,Gushing over Magical Girls,TV,13,Finished Airing,"Jan 3, 2024 to Mar 27, 2024",Winter 2024,Wednesdays at 23,"Lantis,       AT-X,       Takeshobo,       Docomo Anime Store,       Kadokawa,       MAGNET,       Bandai Namco Music Live",Sentai Filmworks,Asahi Production,Web manga,"ActionAction,         ComedyComedy,         Girls LoveGirls Love,         EcchiEcchi",,23 min. per ep.,R+ - Mild Nudity,"7.631 (scored by 7907679,076 users)
      


1
          indicates a weighted score.","#14692

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1448,"173,996","1,939",,Mahou ShoujoMahou Shoujo,,,,
14,2024,winter,Akuyaku Reijou Level 99: Watashi wa Ura-Boss desu ga Maou dewa Arimasen,Villainess Level 99: I May Be the Hidden Boss but I'm Not the Demon Lord,https://cdn.myanimelist.net/images/anime/1150/140028.jpg,,悪役令嬢レベル99 ～私は裏ボスですが魔王ではありません～,Villainess Level 99,TV,12,Finished Airing,"Jan 9, 2024 to Mar 26, 2024",Winter 2024,Tuesdays at 23,"AT-X,       Tokyo MX,       BS11,       Kadokawa",Crunchyroll,Jumondo,Light novel,,"IsekaiIsekai,         SchoolSchool,         VillainessVillainess",23 min. per ep.,PG-13 - Teens 13 or older,"7.131 (scored by 8956989,569 users)
      


1
          indicates a weighted score.","#37522

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1452,"173,395",816,,,FantasyFantasy,,,
15,2024,winter,Majo to Yajuu,The Witch and the Beast,https://cdn.myanimelist.net/images/anime/1380/139745.jpg,Witch and the Beast,魔女と野獣,The Witch and the Beast,TV,12,Finished Airing,"Jan 12, 2024 to Apr 5, 2024",Winter 2024,Fridays at 01,"TBS,       Kodansha,       DAX Production,       NBCUniversal Entertainment Japan,       BS11,       Crunchyroll,       Nichion,       MAGNET","None found, add some",Yokohama Animation Laboratory,Manga,"ActionAction,         FantasyFantasy","Adult CastAdult Cast,         GoreGore,         Urban FantasyUrban Fantasy",24 min. per ep.,R - 17+ (violence & profanity),"7.421 (scored by 5719657,196 users)
      


1
          indicates a weighted score.","#22702

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1549,"161,953",968,SeinenSeinen,,,,,
16,2024,winter,Ao no Exorcist: Shimane Illuminati-hen,Blue Exorcist: Shimane Illuminati Saga,https://cdn.myanimelist.net/images/anime/1239/140803.jpg,"Blue Exorcist Season 3, Ao no Futsumashi",青の祓魔師 島根啓明結社篇,Blue Exorcist,TV,12,Finished Airing,"Jan 7, 2024 to Mar 24, 2024",Winter 2024,Sundays at 00,"Aniplex,       Dentsu,       Mainichi Broadcasting System,       Movic,       Rakuonsha,       Shueisha",Aniplex of America,Studio VOLN,Manga,"ActionAction,         SupernaturalSupernatural","MythologyMythology,         SchoolSchool",23 min. per ep.,PG-13 - Teens 13 or older,"7.061 (scored by 4731547,315 users)
      


1
          indicates a weighted score.","#41162

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1572,"159,449",608,ShounenShounen,,,,,
17,2024,winter,"Sokushi Cheat ga Saikyou sugite, Isekai no Yatsura ga Marude Aite ni Naranai n desu ga.","My Instant Death Ability is So Overpowered, No One in This Other World Stands a Chance Against Me!",https://cdn.myanimelist.net/images/anime/1734/139673.jpg,The other world doesn't stand a chance against the power of instant death,即死チートが最強すぎて、異世界のやつらがまるで相手にならないんですが。,"My Instant Death Ability is So Overpowered, No One in This Other World Stands a Chance Against Me!",TV,12,Finished Airing,"Jan 5, 2024 to Mar 22, 2024",Winter 2024,Fridays at 00,"Mainichi Broadcasting System,       KlockWorx,       Earth Star Entertainment,       Tokyo MX,       BS11,       JR East Marketing & Communications,       Nichion,       MAGNET,       AQUA ARIS",Sentai Filmworks,Okuruto Noboru,Light novel,"ActionAction,         AdventureAdventure,         ComedyComedy,         FantasyFantasy","IsekaiIsekai,         ParodyParody",23 min. per ep.,R - 17+ (violence & profanity),"6.371 (scored by 7265372,653 users)
      


1
          indicates a weighted score.","#78482

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1578,"158,488",615,,,,,,
18,2024,winter,Jaku-Chara Tomozaki-kun 2nd Stage,Bottom-Tier Character Tomozaki 2nd Stage,https://cdn.myanimelist.net/images/anime/1143/140807.jpg,,弱キャラ友崎くん 2nd STAGE,Bottom-Tier Character Tomozaki 2nd Stage,TV,13,Finished Airing,"Jan 3, 2024 to Mar 27, 2024",Winter 2024,Wednesdays at 21,"Pony Canyon,       AT-X,       KlockWorx,       Asmik Ace,       Tokyo MX,       BS11,       APDREAM,       arma bianca,       Bit grooove promotion,       Dream Shift,       Happinet Phantom Studios,       Bergamo","None found, add some",Project No.9,Light novel,"DramaDrama,         RomanceRomance",,23 min. per ep.,PG-13 - Teens 13 or older,"7.041 (scored by 5321753,217 users)
      


1
          indicates a weighted score.","#41712

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1784,"134,780",606,,SchoolSchool,,,,
19,2024,winter,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita 2nd","Banished From The Hero's Party, I Decided To Live A Quiet Life In The Countryside Season 2",https://cdn.myanimelist.net/images/anime/1873/139792.jpg,"Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside, I Was Kicked out of the Hero's Party Because I Wasn't a True Companion so I Decided to Have a Slow Life at the Frontier 2",真の仲間じゃないと勇者のパーティーを追い出されたので、辺境でスローライフすることにしました 2nd,"Banished From The Hero's Party, I Decided To Live A Quiet Life In The Countryside Season 2",TV,12,Finished Airing,"Jan 7, 2024 to Mar 24, 2024",Winter 2024,Sundays at 22,"AT-X,       Magic Capsule,       Nippon Columbia,       BS NTV,       Kadokawa,       Kyoto Broadcasting System",Crunchyroll,Studio Flad,Light novel,"FantasyFantasy,         RomanceRomance",,23 min. per ep.,PG-13 - Teens 13 or older,"6.761 (scored by 4844648,446 users)
      


1
          indicates a weighted score.","#55272

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1805,"133,085",377,,,,,,
20,2024,winter,Oroka na Tenshi wa Akuma to Odoru,The Foolish Angel Dances with the Devil,https://cdn.myanimelist.net/images/anime/1902/139271.jpg,"The Foolish Angel Dances with Demons, Kanaten",愚かな天使は悪魔と踊る,The Foolish Angel Dances with the Devil,TV,12,Finished Airing,"Jan 9, 2024 to Mar 26, 2024",Winter 2024,Tuesdays at 01,"TV Tokyo,       Pony Canyon,       Movic,       AT-X,       Gaina,       Docomo Anime Store,       Crunchyroll,       Kadokawa,       Aoni Production,       Nihon Keizai Koukokusha,       ANLA","None found, add some",Children's Playground Entertainment,Manga,"ComedyComedy,         RomanceRomance,         SupernaturalSupernatural","MythologyMythology,         SchoolSchool",23 min. per ep.,PG-13 - Teens 13 or older,"6.911 (scored by 4628946,289 users)
      


1
          indicates a weighted score.","#47862

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1901,"124,129",409,SeinenSeinen,,,,,
21,2024,winter,Kekkon Yubiwa Monogatari,Tales of Wedding Rings,https://cdn.myanimelist.net/images/anime/1452/139991.jpg,,結婚指輪物語,Tales of Wedding Rings,TV,12,Finished Airing,"Jan 6, 2024 to Mar 23, 2024",Winter 2024,Saturdays at 21,"Square Enix,       Toei Video,       Pony Canyon,       AT-X,       KlockWorx,       Studio Mausu,       Hakuhodo DY Music & Pictures,       BS11,       APDREAM,       Bushiroad Move","None found, add some",Staple Entertainment,Manga,"ActionAction,         FantasyFantasy,         RomanceRomance,         EcchiEcchi","HaremHarem,         IsekaiIsekai",23 min. per ep.,R+ - Mild Nudity,"6.071 (scored by 4564145,641 users)
      


1
          indicates a weighted score.","#95582

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1957,"118,805",370,SeinenSeinen,,,,,
22,2024,winter,Saijaku Tamer wa Gomi Hiroi no Tabi wo Hajimemashita.,The Weakest Tamer Began a Journey to Pick Up Trash,https://cdn.myanimelist.net/images/anime/1280/138474.jpg,,最弱テイマーはゴミ拾いの旅を始めました。,The Weakest Tamer Began a Journey to Pick Up Trash,TV,12,Finished Airing,"Jan 12, 2024 to Mar 29, 2024",Winter 2024,Fridays at 23,"Lantis,       Movic,       KlockWorx,       Tokyo MX,       ABC Animation,       TO Books,       NetEase,       BS Asahi,       Bandai Namco Music Live,       ABC Frontier","None found, add some",Studio Massket,Light novel,"AdventureAdventure,         FantasyFantasy","CrossdressingCrossdressing,         IsekaiIsekai,         ReincarnationReincarnation",23 min. per ep.,PG-13 - Teens 13 or older,"7.561 (scored by 5500355,003 users)
      


1
          indicates a weighted score.","#17432

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1996,"116,501",598,,,,,,
23,2024,winter,Ishura,,https://cdn.myanimelist.net/images/anime/1364/140875.jpg,,異修羅,Ishura,TV,12,Finished Airing,"Jan 3, 2024 to Mar 20, 2024",Winter 2024,Wednesdays at 23,"Magic Capsule,       Tencent Japan,       Kadokawa,       Aiming","None found, add some",Passione,Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy","GoreGore,         IsekaiIsekai",23 min. per ep.,R - 17+ (violence & profanity),"6.671 (scored by 3335333,353 users)
      


1
          indicates a weighted score.","#61162

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2092,"109,032",383,,,,,,
24,2024,winter,Metallic Rouge,,https://cdn.myanimelist.net/images/anime/1859/140210.jpg,,メタリックルージュ,Metallic Rouge,TV,13,Finished Airing,"Jan 11, 2024 to Apr 4, 2024",Winter 2024,Thursdays at 00,"Dentsu,       Fuji TV,       GAGA,       Fujipacific Music,       BS Fuji,       bilibili,       Crunchyroll,       Line Digital Frontier","None found, add some",Bones,Original,"ActionAction,         Sci-FiSci-Fi",,22 min. per ep.,PG-13 - Teens 13 or older,"6.201 (scored by 3122631,226 users)
      


1
          indicates a weighted score.","#88212

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2120,"106,619",376,,,,,,
25,2024,winter,Sasaki to Pii-chan,Sasaki and Peeps,https://cdn.myanimelist.net/images/anime/1624/139672.jpg,Sasaki to P-chan,佐々木とピーちゃん,Sasaki and Peeps,TV,12,Finished Airing,"Jan 5, 2024 to Mar 22, 2024",Winter 2024,Fridays at 21,"AT-X,       Nippon Columbia,       Sammy,       Crunchyroll,       Kadokawa,       Bit grooove promotion,       GREE Entertainment","None found, add some",SILVER LINK.,Light novel,"AdventureAdventure,         ComedyComedy,         FantasyFantasy",,25 min. per ep.,PG-13 - Teens 13 or older,"6.841 (scored by 4681846,818 users)
      


1
          indicates a weighted score.","#51362

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2152,"104,701",208,,IsekaiIsekai,,,,
26,2024,winter,Gekai Elise,Doctor Elise: The Royal Lady with the Lamp,https://cdn.myanimelist.net/images/anime/1449/140344.jpg,"Oegwauisa Elise, 외과의사 엘리제, Surgeon Elise, Doctor Elise",外科医エリーゼ,Doctor Elise,TV,12,Finished Airing,"Jan 10, 2024 to Mar 27, 2024",Winter 2024,Wednesdays at 21,"Lantis,       AT-X,       Docomo Anime Store,       Kansai Telecasting,       BS NTV,       Kadokawa,       Simplicity,       Bandai Namco Music Live","None found, add some",Maho Film,Web manga,"FantasyFantasy,         RomanceRomance","MedicalMedical,         ReincarnationReincarnation",23 min. per ep.,PG-13 - Teens 13 or older,"7.251 (scored by 4495244,952 users)
      


1
          indicates a weighted score.","#31032

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2246,"98,352",499,,,,,,
27,2024,winter,Bucchigiri?!,,https://cdn.myanimelist.net/images/anime/1885/139871.jpg,,ぶっちぎり?!,Bucchigiri?!,TV,12,Finished Airing,"Jan 13, 2024 to Apr 6, 2024",Winter 2024,Saturdays at 23,"TOHO animation,       dugout","None found, add some",MAPPA,Original,"ComedyComedy,         SupernaturalSupernatural","DelinquentsDelinquents,         SchoolSchool",24 min. per ep.,PG-13 - Teens 13 or older,"6.521 (scored by 3865638,656 users)
      


1
          indicates a weighted score.","#69752

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2265,"97,190",391,,,,,,
28,2024,winter,Kyuujitsu no Warumono-san,Mr. Villain's Day Off,https://cdn.myanimelist.net/images/anime/1124/138750.jpg,,休日のわるものさん,Mr. Villain's Day Off,TV,12,Finished Airing,"Jan 8, 2024 to Mar 25, 2024",Winter 2024,Mondays at 01,"TV Tokyo,       VAP,       Square Enix,       TV Osaka,       DAX Production,       KlockWorx,       Nikkatsu,       MAGNET,       Scissors Blitz","None found, add some","SynergySP,       Shin-Ei Animation",Web manga,"FantasyFantasy,         Slice of LifeSlice of Life","IyashikeiIyashikei,         Urban FantasyUrban Fantasy",23 min. per ep.,PG-13 - Teens 13 or older,"7.251 (scored by 2771327,713 users)
      


1
          indicates a weighted score.","#30832

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2338,"91,745",524,,,,,,
29,2024,winter,"Saikyou Tank no Meikyuu Kouryaku: Tairyoku 9999 no Rare Skill-mochi Tank, Yuusha Party wo Tsuihou sareru",The Strongest Tank's Labyrinth Raids -A Tank with a Rare 9999 Resistance Skill Got Kicked from the Hero's Party-,https://cdn.myanimelist.net/images/anime/1384/140829.jpg,The Strongest Tank's Labyrinth Raids,最強タンクの迷宮攻略 ～体力9999のレアスキル持ちタンク、勇者パーティーを追放される～,The Strongest Tank's Labyrinth Raids -A Tank with a Rare 9999 Resistance Skill Got Kicked from the Hero's Party-,TV,12,Finished Airing,"Jan 7, 2024 to Mar 24, 2024",Winter 2024,Sundays at 02,"Square Enix,       Victor Entertainment,       Medicos Entertainment,       ABC Animation,       AbemaTV,       ABC Frontier,       Procen Studio","None found, add some",Studio Polon,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",,23 min. per ep.,PG-13 - Teens 13 or older,"6.121 (scored by 3836738,367 users)
      


1
          indicates a weighted score.","#93062

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2394,"88,043",131,,,,,,
30,2024,winter,Isekai de Mofumofu Nadenade suru Tame ni Ganbattemasu.,Fluffy Paradise,https://cdn.myanimelist.net/images/anime/1925/139564.jpg,"I'm Doing My Best to Make Myself at Home in Another World, Mofunade",異世界でもふもふなでなでするためにがんばってます。,Fluffy Paradise,TV,12,Finished Airing,"Jan 7, 2024 to Mar 24, 2024",Winter 2024,Sundays at 22,"Pony Canyon,       Nikkatsu,       Futabasha,       BS11,       Crunchyroll,       Yomiuri TV Enterprise,       APDREAM,       MAGNET","None found, add some",EMT Squared,Light novel,"AdventureAdventure,         FantasyFantasy","IsekaiIsekai,         ReincarnationReincarnation",23 min. per ep.,PG-13 - Teens 13 or older,"6.781 (scored by 3576935,769 users)
      


1
          indicates a weighted score.","#54382

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2488,"83,328",412,,,,,,
31,2024,winter,30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!,https://cdn.myanimelist.net/images/anime/1762/139690.jpg,"Cherimaho, Cherry Mahou",30歳まで童貞だと魔法使いになれるらしい,Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!,TV,12,Finished Airing,"Jan 11, 2024 to Mar 28, 2024",Winter 2024,Thursdays at 00,"TV Tokyo,       Square Enix,       Sotsu,       TV Osaka,       DAX Production,       Avex Pictures,       TV Aichi,       BS TV Tokyo,       MAGNET","None found, add some",Satelight,Manga,"Boys LoveBoys Love,         ComedyComedy","Adult CastAdult Cast,         Super PowerSuper Power,         WorkplaceWorkplace",23 min. per ep.,PG-13 - Teens 13 or older,"7.641 (scored by 3306633,066 users)
      


1
          indicates a weighted score.","#14452

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2663,"74,234",714,,,,,,
