,year,season,jp_title,en_title,img,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Synonyms,Themes,Genre,Theme,German,Spanish,French
10,2024,fall,Chi. Chikyuu no Undou ni Tsuite,Orb: On the Movements of the Earth,https://cdn.myanimelist.net/images/anime/1749/145922.jpg,チ。―地球の運動について―,Orb,TV,25,Currently Airing,"Oct 5, 2024 to ?",Fall 2024,Saturdays at 23,"Shogakukan-Shueisha Productions,       Shogakukan,       NHK Enterprises,       SKY Perfect Pictures","None found, add some",Madhouse,Manga,,SeinenSeinen,25 min. per ep.,R - 17+ (violence & profanity),"8.461 (scored by 2400624,006 users)
      


1
          indicates a weighted score.","#1592

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1727,"140,158","1,405",About the Movement of the Earth,,DramaDrama,HistoricalHistorical,,,
11,2024,fall,Ranma ½ (2024),Ranma ½,https://cdn.myanimelist.net/images/anime/1155/144299.jpg,らんま1/2,Ranma ½,TV,12,Finished Airing,"Oct 6, 2024 to Dec 22, 2024",Fall 2024,Sundays at 00,"Shogakukan-Shueisha Productions,       Nippon Television Network,       Shogakukan,       dugout","None found, add some",MAPPA,Manga,"ActionAction,         ComedyComedy,         RomanceRomance,         EcchiEcchi",ShounenShounen,22 min. per ep.,PG-13 - Teens 13 or older,"8.051 (scored by 5269652,696 users)
      


1
          indicates a weighted score.","#6042

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1974,"118,067",870,Ranma 1/2 (2024),"Magical Sex ShiftMagical Sex Shift,         Martial ArtsMartial Arts,         SchoolSchool",,,,,
12,2024,fall,Raise wa Tanin ga Ii,Yakuza Fiancé: Raise wa Tanin ga Ii,https://cdn.myanimelist.net/images/anime/1428/143773.jpg,来世は他人がいい,Yakuza Fiancé,TV,12,Finished Airing,"Oct 7, 2024 to Dec 23, 2024",Fall 2024,Mondays at 23,"Pony Canyon,       Kodansha,       Half H.P Studio,       Tokyo MX,       BS11,       Crunchyroll,       arma bianca,       SKY Perfect Pictures","None found, add some",Studio Deen,Manga,,SeinenSeinen,23 min. per ep.,PG-13 - Teens 13 or older,"7.191 (scored by 4024540,245 users)
      


1
          indicates a weighted score.","#34102

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2037,"113,740",570,,,RomanceRomance,Organized CrimeOrganized Crime,,,
13,2024,fall,Kimi wa Meido-sama.,You are Ms. Servant.,https://cdn.myanimelist.net/images/anime/1909/144684.jpg,君は冥土様。,You are Ms. Servant.,TV,12,Finished Airing,"Oct 6, 2024 to Dec 22, 2024",Fall 2024,Sundays at 01,"TV Asahi,       Shogakukan-Shueisha Productions,       Ai Addiction,       Avex Pictures,       Shogakukan,       AbemaTV,       BS Asahi,       TV Asahi Music","None found, add some",Felix Film,Web manga,"ComedyComedy,         RomanceRomance",,23 min. per ep.,PG-13 - Teens 13 or older,"7.081 (scored by 3753637,536 users)
      


1
          indicates a weighted score.","#40232

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2065,"111,473",444,,,,,,,
14,2024,fall,Nageki no Bourei wa Intai shitai,Let This Grieving Soul Retire,https://cdn.myanimelist.net/images/anime/1679/145660.jpg,嘆きの亡霊は引退したい,Let This Grieving Soul Retire,TV,13,Finished Airing,"Oct 1, 2024 to Dec 24, 2024",Fall 2024,Tuesdays at 23,"Tokyo MX,       Avex Pictures,       BS NTV,       Micro Magazine Publishing,       GREE Entertainment,       Saber Links","None found, add some",Zero-G,Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy",,23 min. per ep.,PG-13 - Teens 13 or older,"7.071 (scored by 4882048,820 users)
      


1
          indicates a weighted score.","#40492

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2068,"111,045",350,Let This Grieving Soul Retire! Woe Is the Weakling Who Leads the Strongest Party,,,,,,
15,2024,fall,"Saikyou no Shienshoku ""Wajutsushi"" de Aru Ore wa Sekai Saikyou Clan wo Shitagaeru","The Most Notorious ""Talker"" Runs the World's Greatest Clan",https://cdn.myanimelist.net/images/anime/1683/145446.jpg,最凶の支援職【話術士】である俺は世界最強クランを従える,"The Most Notorious ""Talker"" Runs the World's Greatest Clan",TV,12,Finished Airing,"Oct 7, 2024 to Dec 23, 2024",Fall 2024,Mondays at 23,"Pony Canyon,       DAX Production,       KlockWorx,       Tokyo MX,       Docomo Anime Store,       Overlap,       Kadokawa Media House,       Contents Seed,       BS NTV,       MAGNET,       Bushiroad Move,       GREE Entertainment","None found, add some","Felix Film,       Ga-Crew",Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy",,23 min. per ep.,R - 17+ (violence & profanity),"7.631 (scored by 5251652,516 users)
      


1
          indicates a weighted score.","#14762

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2105,"108,196",515,,,,,,,
16,2024,fall,Hitoribocchi no Isekai Kouryaku,Loner Life in Another World,https://cdn.myanimelist.net/images/anime/1714/145320.jpg,ひとりぼっちの異世界攻略,Loner Life in Another World,TV,12,Finished Airing,"Oct 4, 2024 to Dec 20, 2024",Fall 2024,Fridays at 00,"Pony Canyon,       Movic,       BS Fuji,       Tokyo MX,       Overlap,       GREE Entertainment",Sentai Filmworks,"Passione,       Hayabusa Film",Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy",,23 min. per ep.,PG-13 - Teens 13 or older,"6.581 (scored by 4561145,611 users)
      


1
          indicates a weighted score.","#66172

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2125,"106,245",439,Lonely Attack on the Different World,,,IsekaiIsekai,,,
17,2024,fall,Kami no Tou: Koubou-sen,Tower of God Season 2: Workshop Battle,https://cdn.myanimelist.net/images/anime/1877/145819.jpg,神之塔 -Tower of God- 工房戦,Tower of God Season 2,TV,13,Finished Airing,"Oct 6, 2024 to Dec 29, 2024",Fall 2024,Sundays at 23,"Crunchyroll,       Sola Entertainment,       Bandai Namco Filmworks,       Line Digital Frontier","None found, add some",The Answer Studio,Web manga,"ActionAction,         AdventureAdventure,         DramaDrama,         FantasyFantasy,         MysteryMystery",,23 min. per ep.,PG-13 - Teens 13 or older,"6.911 (scored by 4459644,596 users)
      


1
          indicates a weighted score.","#47772

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2162,"103,654",214,"Sin-ui Tap, 신의 탑, Kami no Tou 2nd Season, Tower of God",,,,,,
18,2024,fall,Maou 2099,Demon Lord 2099,https://cdn.myanimelist.net/images/anime/1675/144605.jpg,魔王2099,Demon Lord 2099,TV,12,Finished Airing,"Oct 13, 2024 to Dec 29, 2024",Fall 2024,Sundays at 00,"Aniplex,       Tokyo MX,       BS11,       Kadokawa","None found, add some",J.C.Staff,Light novel,"ActionAction,         FantasyFantasy,         Sci-FiSci-Fi",,23 min. per ep.,PG-13 - Teens 13 or older,"7.481 (scored by 4096240,962 users)
      


1
          indicates a weighted score.","#20302

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2169,"103,282",323,"Ken to Maou no Cyberpunk, The Lord Of Immortals Blooming in The Abyss F.E. 2099",,,Urban FantasyUrban Fantasy,,,
19,2024,fall,Sword Art Online Alternative: Gun Gale Online II,,https://cdn.myanimelist.net/images/anime/1335/145505.jpg,ソードアート・オンライン オルタナティブ ガンゲイル・オンラインⅡ,Sword Art Online Alternative,TV,12,Finished Airing,"Oct 5, 2024 to Dec 21, 2024",Fall 2024,Saturdays at 00,"Aniplex,       Magic Capsule,       Bandai Namco Entertainment,       Egg Firm,       Straight Edge,       Kadokawa",Aniplex of America,A-1 Pictures,Light novel,,,23 min. per ep.,PG-13 - Teens 13 or older,"7.161 (scored by 2479424,794 users)
      


1
          indicates a weighted score.","#35972

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2207,"100,872",327,SAO Alternative Gun Gale Online II,"MilitaryMilitary,         Video GameVideo Game",ActionAction,,,,
20,2024,fall,Dragon Ball Daima,,https://cdn.myanimelist.net/images/anime/1723/145231.jpg,ドラゴンボール ダイマ,Dragon Ball Daima,TV,20,Currently Airing,"Oct 11, 2024 to Feb 28, 2025",Fall 2024,Fridays at 23,"None found, add some","None found, add some",Toei Animation,Manga,"ActionAction,         AdventureAdventure,         ComedyComedy,         FantasyFantasy",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.721 (scored by 2084520,845 users)
      


1
          indicates a weighted score.","#12492

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2224,"99,366",697,,,,Martial ArtsMartial Arts,,,
21,2024,fall,Rekishi ni Nokoru Akujo ni Naru zo,I'll Become a Villainess Who Goes Down in History,https://cdn.myanimelist.net/images/anime/1005/145339.jpg,歴史に残る悪女になるぞ,I'll Become a Villainess Who Goes Down in History,TV,13,Finished Airing,"Oct 2, 2024 to Dec 25, 2024",Fall 2024,Wednesdays at 00,"Lantis,       Half H.P Studio,       Kadokawa,       Bandai Namco Music Live","None found, add some",Maho Film,Light novel,"ComedyComedy,         FantasyFantasy,         RomanceRomance",ShoujoShoujo,23 min. per ep.,PG-13 - Teens 13 or older,"7.331 (scored by 4572745,727 users)
      


1
          indicates a weighted score.","#26882

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2227,"99,136",482,"Rekiaku, I'll Become a Villainess That Will Go Down in History","IsekaiIsekai,         VillainessVillainess",,,,,
22,2024,fall,"Kekkon suru tte, Hontou desu ka",365 Days to the Wedding,https://cdn.myanimelist.net/images/anime/1572/145903.jpg,結婚するって、本当ですか 365 Days To The Wedding,365 Days to the Wedding,TV,12,Finished Airing,"Oct 3, 2024 to Dec 19, 2024",Fall 2024,Thursdays at 23,"Sotsu,       Pony Canyon,       Studio Mausu,       BS11,       Rakuten","None found, add some",Ashi Productions,Manga,,SeinenSeinen,23 min. per ep.,PG-13 - Teens 13 or older,"7.131 (scored by 3644536,445 users)
      


1
          indicates a weighted score.","#37322

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2276,"96,394",293,Are You Really Getting Married?,"Adult CastAdult Cast,         WorkplaceWorkplace",RomanceRomance,,,,
23,2024,fall,"Tensei Kizoku, Kantei Skill de Nariagaru 2nd Season","As a Reincarnated Aristocrat, I'll Use My Appraisal Skill to Rise in the World Season 2",https://cdn.myanimelist.net/images/anime/1280/143705.jpg,転生貴族、鑑定スキルで成り上がる 第2期,"As a Reincarnated Aristocrat, I'll Use My Appraisal Skill to Rise in the World Season 2",TV,12,Finished Airing,"Sep 29, 2024 to Dec 22, 2024",Fall 2024,Sundays at 23,"Dentsu,       CBC Television,       Kodansha,       Crunchyroll,       U-NEXT,       Tencent Japan,       Bushiroad Move,       Bandai Namco Filmworks,       Bandai Namco Music Live","None found, add some",studio MOTHER,Light novel,"AdventureAdventure,         FantasyFantasy",,23 min. per ep.,PG-13 - Teens 13 or older,"7.481 (scored by 4102441,024 users)
      


1
          indicates a weighted score.","#20202

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2287,"95,386",266,Reincarnated as an Aristocrat with an Appraisal Skill Season 2,"IsekaiIsekai,         ReincarnationReincarnation",,,,,
24,2024,fall,Yarinaoshi Reijou wa Ryuutei Heika wo Kouryakuchuu,The Do-Over Damsel Conquers The Dragon Emperor,https://cdn.myanimelist.net/images/anime/1878/145376.jpg,やり直し令嬢は竜帝陛下を攻略中,The Do-Over Damsel Conquers The Dragon Emperor,TV,12,Finished Airing,"Oct 9, 2024 to Dec 25, 2024",Fall 2024,Wednesdays at 22,"AT-X,       Magic Capsule,       Docomo Anime Store,       Kansai Telecasting,       BS NTV,       Kadokawa","None found, add some",J.C.Staff,Light novel,"ComedyComedy,         FantasyFantasy,         RomanceRomance",ShoujoShoujo,23 min. per ep.,PG-13 - Teens 13 or older,"7.041 (scored by 3210232,102 users)
      


1
          indicates a weighted score.","#42252

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2543,"80,477",344,"Yariryuu, The Returnee Noble Lady Attacks His Majesty the Dragon Emperor, Win Over the Dragon Emperor This Time Around, Noble Girl!",,,Time TravelTime Travel,,,
25,2024,fall,Ao no Exorcist: Yuki no Hate-hen,Blue Exorcist: Beyond the Snow Saga,https://cdn.myanimelist.net/images/anime/1617/144043.jpg,青の祓魔師 雪ノ果篇,Blue Exorcist,TV,12,Finished Airing,"Oct 6, 2024 to Dec 22, 2024",Fall 2024,Sundays at 00,"Aniplex,       Dentsu,       Mainichi Broadcasting System,       Movic,       Rakuonsha,       Shueisha",Aniplex of America,Studio VOLN,Manga,"ActionAction,         SupernaturalSupernatural",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.421 (scored by 2007720,077 users)
      


1
          indicates a weighted score.","#22852

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2564,"79,104",202,"Blue Exorcist Season 4, Ao no Exorcist 4th Season","MythologyMythology,         SchoolSchool",,,,,
26,2024,fall,Amagami-san Chi no Enmusubi,Tying the Knot with an Amagami Sister,https://cdn.myanimelist.net/images/anime/1303/147193.jpg,甘神さんちの縁結び,Tying the Knot with an Amagami Sister,TV,24,Currently Airing,"Oct 2, 2024 to ?",Fall 2024,Wednesdays at 00,"Kodansha,       KlockWorx,       King Records,       Crunchyroll,       BS NTV","None found, add some",Drive,Manga,"ComedyComedy,         RomanceRomance,         SupernaturalSupernatural",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.151 (scored by 1325613,256 users)
      


1
          indicates a weighted score.","#36382

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2675,"73,861",348,Matchmaking of the Amagami Household,,,HaremHarem,,,
27,2024,fall,"Sayounara Ryuusei, Konnichiwa Jinsei","Good Bye, Dragon Life",https://cdn.myanimelist.net/images/anime/1225/144606.jpg,さようなら竜生、こんにちは人生,"Good Bye, Dragon Life",TV,12,Finished Airing,"Oct 11, 2024 to Dec 27, 2024",Fall 2024,Fridays at 01,"Dentsu,       TBS,       KlockWorx,       Crunchyroll,       DMM.com,       DMM pictures,       arma bianca,       BloomZ,       AlphaPolis,       HIAN","None found, add some","SynergySP,       Vega Entertainment",Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy",,24 min. per ep.,PG-13 - Teens 13 or older,"6.351 (scored by 2983029,830 users)
      


1
          indicates a weighted score.","#79952

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2685,"73,478",169,"Goodbye Dragon Life, Hello Human Life",,,ReincarnationReincarnation,,,
28,2024,fall,"Party kara Tsuihou sareta Sono Chiyushi, Jitsu wa Saikyou ni Tsuki","The Healer Who Was Banished From His Party, Is, in Fact, the Strongest",https://cdn.myanimelist.net/images/anime/1721/145335.jpg,パーティーから追放されたその治癒師、実は最強につき,"The Healer Who Was Banished From His Party, Is, in Fact, the Strongest",TV,12,Finished Airing,"Oct 6, 2024 to Dec 22, 2024",Fall 2024,Sundays at 02,"Pony Canyon,       KlockWorx,       NBCUniversal Entertainment Japan,       Futabasha,       ABC Animation,       APDREAM,       Bushiroad Move,       Procen Studio,       Zero G Act","None found, add some",Studio Elle,Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy",,23 min. per ep.,PG-13 - Teens 13 or older,"5.701 (scored by 2976629,766 users)
      


1
          indicates a weighted score.","#114042

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2714,"72,546",122,,,,,,,
29,2024,fall,NegaPosi Angler,Negative Positive Angler,https://cdn.myanimelist.net/images/anime/1537/145325.jpg,ネガポジアングラー,Negative Positive Angler,TV,12,Finished Airing,"Oct 3, 2024 to Dec 19, 2024",Fall 2024,Thursdays at 22,"AT-X,       Magic Capsule,       bilibili,       Tencent Japan,       Kadokawa","None found, add some",Nut,Original,,,23 min. per ep.,PG-13 - Teens 13 or older,"7.371 (scored by 1915519,155 users)
      


1
          indicates a weighted score.","#24832

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#3112,"56,231",244,,,Slice of LifeSlice of Life,Adult CastAdult Cast,,,
30,2024,fall,"Tsuma, Shougakusei ni Naru.",TsumaSho,https://cdn.myanimelist.net/images/anime/1752/145548.jpg,妻、小学生になる。,TsumaSho,TV,12,Finished Airing,"Oct 6, 2024 to Dec 22, 2024",Fall 2024,Sundays at 22,"Pierrot,       VAP,       Houbunsha,       TC Entertainment,       BS11,       Crunchyroll,       Yomiuri TV Enterprise","None found, add some",Studio Signpost,Manga,"ComedyComedy,         RomanceRomance",SeinenSeinen,23 min. per ep.,PG-13 - Teens 13 or older,"7.531 (scored by 1854818,548 users)
      


1
          indicates a weighted score.","#18542

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#3134,"55,373",179,If My Wife Becomes an Elementary School Student.,,,ReincarnationReincarnation,,,
31,2024,fall,Kamonohashi Ron no Kindan Suiri 2nd Season,Ron Kamonohashi's Forbidden Deductions Season 2,https://cdn.myanimelist.net/images/anime/1917/144334.jpg,鴨乃橋ロンの禁断推理 2nd Season,Ron Kamonohashi's Forbidden Deductions Season 2,TV,13,Finished Airing,"Oct 7, 2024 to Dec 30, 2024",Fall 2024,Mondays at 22,"Movic,       AT-X,       Toy's Factory,       Kadokawa,       Bit grooove promotion","None found, add some",Diomedéa,Manga,"ComedyComedy,         MysteryMystery",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.591 (scored by 1584515,845 users)
      


1
          indicates a weighted score.","#16262

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#3209,"52,800",220,Ron Kamonohashi,"Adult CastAdult Cast,         DetectiveDetective",,,,,
32,2024,fall,Goukon ni Ittara Onna ga Inakatta Hanashi,How I Attended an All-Guy's Mixer,https://cdn.myanimelist.net/images/anime/1198/145156.jpg,合コンに行ったら女がいなかった話,How I Attended an All-Guy's Mixer,TV,12,Finished Airing,"Oct 5, 2024 to Dec 21, 2024",Fall 2024,Saturdays at 01,"Dentsu,       Square Enix,       Movic,       KlockWorx,       Studio Mausu,       NBCUniversal Entertainment Japan,       Kansai Telecasting,       BS NTV,       NetEase",Sentai Filmworks,Ashi Productions,Web manga,"ComedyComedy,         RomanceRomance",,23 min. per ep.,PG-13 - Teens 13 or older,"7.401 (scored by 1762717,627 users)
      


1
          indicates a weighted score.","#23702

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#3243,"51,798",299,The Story of How I Went to a Mixer and There Were No Women There,"Adult CastAdult Cast,         CrossdressingCrossdressing",,,,,
