,year,season,jp_title,en_title,img,Synonyms,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Genre,Theme,German,Spanish,French
10,2022,fall,Fumetsu no Anata e Season 2,To Your Eternity Season 2,https://cdn.myanimelist.net/images/anime/1271/127700.jpg,"To Your Eternity 2nd Season, To You, the Immortal 2nd Season",不滅のあなたへ Season2,To Your Eternity Season 2,TV,20,Finished Airing,"Oct 23, 2022 to Mar 12, 2023",Fall 2022,Sundays at 19,"NHK,       Kodansha,       NHK Enterprises","None found, add some",Drive,Manga,"AdventureAdventure,         DramaDrama,         SupernaturalSupernatural",,ShounenShounen,25 min. per ep.,R - 17+ (violence & profanity),"8.091 (scored by 113327113,327 users)
      


1
          indicates a weighted score.","#5372

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#875,"301,816","1,632",,,,,
11,2022,fall,Uzaki-chan wa Asobitai! Double,Uzaki-chan Wants to Hang Out! Season 2,https://cdn.myanimelist.net/images/anime/1539/128058.jpg,"Uzaki-chan wa Asobitai! 2nd Season, Uzaki-chan wa Asobitai! ω, Uzaki-chan Wants to Hang Out! 2nd Season, Uzaki-chan Wants to Hang Out! ω",宇崎ちゃんは遊びたい！ω（だぶる）,Uzaki-chan Wants to Hang Out! Season 2,TV,13,Finished Airing,"Oct 1, 2022 to Dec 24, 2022",Fall 2022,Saturdays at 21,"Movic,       AT-X,       Sammy,       ABC Animation,       Kadokawa,       INCS toenter","None found, add some",ENGI,Web manga,"ComedyComedy,         RomanceRomance","Adult CastAdult Cast,         Love Status QuoLove Status Quo",,23 min. per ep.,PG-13 - Teens 13 or older,"7.251 (scored by 8890988,909 users)
      


1
          indicates a weighted score.","#31222

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1107,"234,798",928,,,,,
12,2022,fall,"Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau",Beast Tamer,https://cdn.myanimelist.net/images/anime/1084/126652.jpg,The Beast Tamer Who Got Kicked Out From His Party Meets a Cat Girl From the Superior Race,勇者パーティーを追放されたビーストテイマー、最強種の猫耳少女と出会う,Beast Tamer,TV,13,Finished Airing,"Oct 2, 2022 to Dec 25, 2022",Fall 2022,Sundays at 22,"Square Enix,       Nippon Columbia,       Nikkatsu,       Crunchyroll,       Yomiuri TV Enterprise,       Jinnan Studio,       Hakuhodo,       Muse Communication","None found, add some",EMT Squared,Web manga,"ActionAction,         AdventureAdventure,         FantasyFantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"6.921 (scored by 107316107,316 users)
      


1
          indicates a weighted score.","#47582

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1185,"218,650","1,082",,,,,
13,2022,fall,Mairimashita! Iruma-kun 3rd Season,Welcome to Demon School! Iruma-kun Season 3,https://cdn.myanimelist.net/images/anime/1688/128720.jpg,Welcome to Demon School! Iruma-kun 3rd Season,魔入りました！入間くん,Welcome to Demon School! Iruma-kun Season 3,TV,21,Finished Airing,"Oct 8, 2022 to Mar 4, 2023",Fall 2022,Saturdays at 18,"NHK,       NHK Enterprises","None found, add some",Bandai Namco Pictures,Manga,"ComedyComedy,         FantasyFantasy",,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"7.821 (scored by 9212192,121 users)
      


1
          indicates a weighted score.","#9812

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1213,"213,315","1,299",,SchoolSchool,,,
14,2022,fall,Akuyaku Reijou nanode Last Boss wo Kattemimashita,"I'm the Villainess, So I'm Taming the Final Boss",https://cdn.myanimelist.net/images/anime/1648/126110.jpg,Akulas,悪役令嬢なのでラスボスを飼ってみました,"I'm the Villainess, So I'm Taming the Final Boss",TV,12,Finished Airing,"Oct 1, 2022 to Dec 17, 2022",Fall 2022,Saturdays at 22,"WOWOW,       Mainichi Broadcasting System,       Tokyo MX,       bilibili,       Kadokawa,       Bit grooove promotion,       NetEase,       ADK Marketing Solutions",Crunchyroll,Maho Film,Light novel,"ComedyComedy,         FantasyFantasy,         RomanceRomance","IsekaiIsekai,         VillainessVillainess",ShoujoShoujo,23 min. per ep.,PG-13 - Teens 13 or older,"7.211 (scored by 9347493,474 users)
      


1
          indicates a weighted score.","#33212

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1314,"194,839","1,092",,,,,
15,2022,fall,Urusei Yatsura (2022),Urusei Yatsura,https://cdn.myanimelist.net/images/anime/1233/129144.jpg,"Those Obnoxious Aliens, The Return of Lum, Lum, the Invader Girl",うる星やつら,Urusei Yatsura,TV,23,Finished Airing,"Oct 14, 2022 to Mar 24, 2023",Fall 2022,Fridays at 00,"Aniplex,       Dentsu,       Shogakukan-Shueisha Productions,       Fuji TV,       Shogakukan,       Fuji Creative",Sentai Filmworks,David Production,Manga,"ComedyComedy,         RomanceRomance,         Sci-FiSci-Fi",,ShounenShounen,22 min. per ep.,PG-13 - Teens 13 or older,"7.411 (scored by 5155751,557 users)
      


1
          indicates a weighted score.","#23282

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1333,"191,595","1,235",,,,,
16,2022,fall,Shinobi no Ittoki,,https://cdn.myanimelist.net/images/anime/1476/125643.jpg,Ittoki the Ninja,忍の一時,Shinobi no Ittoki,TV,12,Finished Airing,"Oct 4, 2022 to Dec 20, 2022",Fall 2022,Tuesdays at 20,"TMS Entertainment,       Toy's Factory,       DMM pictures,       DMM Music,       NetEase,       Vobile Japan","None found, add some",TROYCA,Original,,,,23 min. per ep.,PG-13 - Teens 13 or older,"6.061 (scored by 6347963,479 users)
      


1
          indicates a weighted score.","#96152

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1406,"179,556",710,ActionAction,SchoolSchool,,,
17,2022,fall,Akiba Meido Sensou,Akiba Maid War,https://cdn.myanimelist.net/images/anime/1217/129604.jpg,Akiba Maid Sensou,アキバ冥途戦争,Akiba Maid War,TV,12,Finished Airing,"Oct 7, 2022 to Dec 23, 2022",Fall 2022,Fridays at 00,"Shochiku,       Movic,       Tokyo MX,       Fields,       Cygames,       Tencent Japan,       dugout,       Happinet Media Marketing",Sentai Filmworks,P.A. Works,Original,"ActionAction,         ComedyComedy",,,23 min. per ep.,R - 17+ (violence & profanity),"7.581 (scored by 7126971,269 users)
      


1
          indicates a weighted score.","#16442

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1442,"174,638","1,146",,Organized CrimeOrganized Crime,,,
18,2022,fall,Kidou Senshi Gundam: Suisei no Majo,Mobile Suit Gundam: The Witch from Mercury,https://cdn.myanimelist.net/images/anime/1440/127624.jpg,G-Witch,機動戦士ガンダム 水星の魔女,Mobile Suit Gundam,TV,12,Finished Airing,"Oct 2, 2022 to Jan 8, 2023",Fall 2022,Sundays at 17,"Sotsu,       Mainichi Broadcasting System,       Bandai Namco Filmworks","None found, add some",Sunrise,Original,"ActionAction,         Sci-FiSci-Fi","MechaMecha,         SchoolSchool,         SpaceSpace",,24 min. per ep.,R - 17+ (violence & profanity),"7.851 (scored by 8497884,978 users)
      


1
          indicates a weighted score.","#9212

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1486,"170,210","1,711",,,,,
19,2022,fall,Renai Flops,Love Flops,https://cdn.myanimelist.net/images/anime/1620/130589.jpg,,恋愛フロップス,Love Flops,TV,12,Finished Airing,"Oct 12, 2022 to Dec 28, 2022",Fall 2022,Wednesdays at 21,"Movic,       AT-X,       Tokyo MX,       TV Aichi,       BS11,       Sun TV,       NTT Plala,       Kadokawa",Sentai Filmworks,Passione,Original,"ComedyComedy,         RomanceRomance,         Sci-FiSci-Fi,         EcchiEcchi","HaremHarem,         SchoolSchool",,23 min. per ep.,R+ - Mild Nudity,"6.701 (scored by 6190661,906 users)
      


1
          indicates a weighted score.","#59112

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1544,"162,665",821,,,,,
20,2022,fall,Noumin Kanren no Skill bakka Agetetara Nazeka Tsuyoku Natta.,I've Somehow Gotten Stronger When I Improved My Farm-Related Skills,https://cdn.myanimelist.net/images/anime/1384/127328.jpg,,農民関連のスキルばっか上げてたら何故か強くなった。,I've Somehow Gotten Stronger When I Improved My Farm-Related Skills,TV,12,Finished Airing,"Oct 1, 2022 to Dec 17, 2022",Fall 2022,Saturdays at 22,"Nippon Columbia,       KlockWorx,       Bushiroad,       NBCUniversal Entertainment Japan,       Docomo Anime Store,       Futabasha,       bilibili,       Bushiroad Move",Sentai Filmworks,Studio A-CAT,Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"5.961 (scored by 5961259,612 users)
      


1
          indicates a weighted score.","#100972

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1619,"153,165",472,,,,,
21,2022,fall,Futoku no Guild,Immoral Guild,https://cdn.myanimelist.net/images/anime/1651/128718.jpg,Guild of Depravity,不徳のギルド,Immoral Guild,TV,12,Finished Airing,"Oct 5, 2022 to Dec 21, 2022",Fall 2022,Wednesdays at 23,"Square Enix,       Lantis,       AT-X,       Egg Firm,       Kadokawa,       Bandai Namco Music Live",Sentai Filmworks,TNK,Manga,"ComedyComedy,         FantasyFantasy,         EcchiEcchi",,ShounenShounen,24 min. per ep.,R+ - Mild Nudity,"6.551 (scored by 4341743,417 users)
      


1
          indicates a weighted score.","#68012

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1944,"119,885",511,,HaremHarem,,,
22,2022,fall,Do It Yourself!!,,https://cdn.myanimelist.net/images/anime/1408/127129.jpg,DIY!!,Do It Yourself!! -どぅー・いっと・ゆあせるふ-,Do It Yourself!!,TV,12,Finished Airing,"Oct 6, 2022 to Dec 22, 2022",Fall 2022,Thursdays at 00,"TV Tokyo,       AT-X,       TV Tokyo Music,       Avex Pictures,       BS11,       Sumitomo,       MAGNET","None found, add some",PINE JAM,Original,,"CGDCTCGDCT,         SchoolSchool",,23 min. per ep.,PG-13 - Teens 13 or older,"7.451 (scored by 4375643,756 users)
      


1
          indicates a weighted score.","#21722

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2010,"115,535",631,Slice of LifeSlice of Life,,,,
23,2022,fall,Arknights: Reimei Zensou,Arknights Animation: Prelude to Dawn,https://cdn.myanimelist.net/images/anime/1644/128406.jpg,Arknights,アークナイツ【黎明前奏/PRELUDE TO DAWN】,Arknights Animation,TV,8,Finished Airing,"Oct 29, 2022 to Dec 17, 2022",Fall 2022,Saturdays at 01,"Hypergryph,       Studio Montagne,       Yostar,       Legendoor","None found, add some",Yostar Pictures,Game,"ActionAction,         FantasyFantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"7.081 (scored by 3942939,429 users)
      


1
          indicates a weighted score.","#39822

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2034,"113,890","1,081",,,,,
24,2022,fall,Golden Kamuy 4th Season,Golden Kamuy Season 4,https://cdn.myanimelist.net/images/anime/1855/128059.jpg,,ゴールデンカムイ,Golden Kamuy Season 4,TV,13,Finished Airing,"Oct 3, 2022 to Jun 26, 2023",Fall 2022,Mondays at 23,"NBCUniversal Entertainment Japan,       Tokyo MX,       Good Smile Company,       Sammy,       Shueisha,       JR East Marketing & Communications,       Twin Engine","None found, add some",Brain's Base,Manga,"ActionAction,         AdventureAdventure","Adult CastAdult Cast,         HistoricalHistorical,         MilitaryMilitary",SeinenSeinen,23 min. per ep.,R - 17+ (violence & profanity),"8.121 (scored by 3923539,235 users)
      


1
          indicates a weighted score.","#4952

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2117,"106,764",618,,,,,
25,2022,fall,Koukyuu no Karasu,Raven of the Inner Palace,https://cdn.myanimelist.net/images/anime/1932/127228.jpg,Kokyu no Karasu,後宮の烏,Raven of the Inner Palace,TV,13,Finished Airing,"Oct 1, 2022 to Dec 24, 2022",Fall 2022,Saturdays at 23,"Aniplex,       Movic,       Shueisha,       Kansai Telecasting,       BS11,       Tohan Corporation,       Marui Group","None found, add some",Bandai Namco Pictures,Light novel,"FantasyFantasy,         MysteryMystery","HistoricalHistorical,         MythologyMythology",JoseiJosei,23 min. per ep.,PG-13 - Teens 13 or older,"7.541 (scored by 3848538,485 users)
      


1
          indicates a weighted score.","#18032

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2121,"106,641",727,,,,,
26,2022,fall,Cool Doji Danshi,"Play It Cool, Guys",https://cdn.myanimelist.net/images/anime/1123/134677.jpg,,クールドジ男子,"Play It Cool, Guys",TV,24,Finished Airing,"Oct 11, 2022 to Mar 28, 2023",Fall 2022,Tuesdays at 01,"TV Tokyo,       AT-X,       Magic Capsule,       Avex Pictures","None found, add some",Pierrot,Web manga,,"Adult CastAdult Cast,         IyashikeiIyashikei",,11 min. per ep.,PG-13 - Teens 13 or older,"7.861 (scored by 3056330,563 users)
      


1
          indicates a weighted score.","#8972

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2192,"102,329","1,089",Slice of LifeSlice of Life,,,,
27,2022,fall,Mushikaburi-hime,Bibliophile Princess,https://cdn.myanimelist.net/images/anime/1256/128714.jpg,Princess of the Bibliophile,虫かぶり姫,Bibliophile Princess,TV,12,Finished Airing,"Oct 6, 2022 to Dec 22, 2022",Fall 2022,Thursdays at 21,"AT-X,       Tokyo MX,       Kansai Telecasting,       Ichijinsha,       BS NTV,       Kadokawa",Sentai Filmworks,Madhouse,Light novel,"DramaDrama,         RomanceRomance",,JoseiJosei,23 min. per ep.,PG-13 - Teens 13 or older,"6.871 (scored by 2861928,619 users)
      


1
          indicates a weighted score.","#49992

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2544,"80,359",475,,,,,
28,2022,fall,Shinmai Renkinjutsushi no Tenpo Keiei,Management of a Novice Alchemist,https://cdn.myanimelist.net/images/anime/1963/128728.jpg,,新米錬金術師の店舗経営,Management of a Novice Alchemist,TV,12,Finished Airing,"Oct 3, 2022 to Dec 19, 2022",Fall 2022,Mondays at 21,"AT-X,       Nippon Columbia,       Sammy,       Kadokawa,       Kill Time Communication",Sentai Filmworks,ENGI,Light novel,"AdventureAdventure,         FantasyFantasy,         Slice of LifeSlice of Life",,,23 min. per ep.,PG-13 - Teens 13 or older,"6.621 (scored by 3072530,725 users)
      


1
          indicates a weighted score.","#64052

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2635,"75,567",225,,,,,
29,2022,fall,KanColle: Itsuka Ano Umi de,KanColle Season 2: Let's Meet at Sea,https://cdn.myanimelist.net/images/anime/1907/135109.jpg,KanColle,艦これ いつかあの海で,KanColle Season 2,TV,8,Finished Airing,"Nov 4, 2022 to Mar 25, 2023",Fall 2022,Fridays at 00,"None found, add some","None found, add some",ENGI,Game,"ActionAction,         Sci-FiSci-Fi","AnthropomorphicAnthropomorphic,         MilitaryMilitary,         SchoolSchool",,23 min. per ep.,PG-13 - Teens 13 or older,"6.261 (scored by 59635,963 users)
      


1
          indicates a weighted score.","#84922

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#3183,"53,781",224,,,,,
30,2022,fall,Berserk: Ougon Jidai-hen - Memorial Edition,Berserk: The Golden Age Arc - Memorial Edition,https://cdn.myanimelist.net/images/anime/1607/127730.jpg,,ベルセルク 黄金時代篇　MEMORIAL EDITION,Berserk,TV,13,Finished Airing,"Oct 2, 2022 to Dec 25, 2022",Fall 2022,Sundays at 00,"Aniplex,       VAP,       Hakusensha,       Movic,       Yahoo! Japan,       Good Smile Company,       Beyond C.,       KDDI,       Rialto Entertainment",Crunchyroll,Studio 4°C,Manga,"ActionAction,         AdventureAdventure,         DramaDrama,         FantasyFantasy,         HorrorHorror","GoreGore,         MilitaryMilitary,         PsychologicalPsychological",SeinenSeinen,25 min. per ep.,R+ - Mild Nudity,"7.901 (scored by 2040320,403 users)
      


1
          indicates a weighted score.","#8262

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#3413,"47,300",360,,,,,
31,2022,fall,Poputepipikku 2nd Season,Pop Team Epic Season 2,https://cdn.myanimelist.net/images/anime/1237/128067.jpg,,ポプテピピック,Pop Team Epic Season 2,TV,11,Finished Airing,"Oct 2, 2022 to Dec 11, 2022",Fall 2022,Sundays at 01,"King Records,       AC-Bu","None found, add some","Kamikaze Douga,       Space Neko Company",4-koma manga,,"Gag HumorGag Humor,         ParodyParody",,11 min. per ep.,PG-13 - Teens 13 or older,"7.521 (scored by 1676616,766 users)
      


1
          indicates a weighted score.","#18772

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#3417,"47,251",148,ComedyComedy,,,,
32,2022,fall,4-nin wa Sorezore Uso wo Tsuku,The Little Lies We All Tell,https://cdn.myanimelist.net/images/anime/1934/128719.jpg,"Four People and Their Respective Lies, Yonin wa Sorezore Uso wo Tsuku",４人はそれぞれウソをつく,The Little Lies We All Tell,TV,11,Finished Airing,"Oct 16, 2022 to Dec 25, 2022",Fall 2022,Sundays at 02,"Pierrot,       Kodansha,       ABC Animation,       MediBang","None found, add some",Studio Flad,Manga,"ComedyComedy,         Sci-FiSci-Fi","Gag HumorGag Humor,         SchoolSchool,         Super PowerSuper Power",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.141 (scored by 1546915,469 users)
      


1
          indicates a weighted score.","#36682

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#3761,"39,835",131,,,,,
33,2022,fall,C Danchi,Housing Complex C,https://cdn.myanimelist.net/images/anime/1378/121573.jpg,,C団地,Housing Complex C,TV,4,Finished Airing,"Oct 2, 2022 to Oct 23, 2022",Fall 2022,Sundays at 13,Production I.G,"None found, add some",Akatsuki,Original,,,,25 min. per ep.,R - 17+ (violence & profanity),"5.421 (scored by 1121211,212 users)
      


1
          indicates a weighted score.","#123562

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#4104,"33,355",164,HorrorHorror,,,,
34,2022,fall,Yowamushi Pedal: Limit Break,,https://cdn.myanimelist.net/images/anime/1853/135275.jpg,"Yowamushi Pedal 5th Season, Yowapeda 5th Season",弱虫ペダル LIMIT BREAK,,TV,25,Finished Airing,"Oct 9, 2022 to Mar 26, 2023",Fall 2022,Sundays at 00,"TV Tokyo,       MediaNet,       TOHO animation,       Akita Shoten,       NHK Enterprises","None found, add some",TMS Entertainment,Manga,,,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"7.411 (scored by 95309,530 users)
      


1
          indicates a weighted score.","#23312

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#4466,"27,815",148,SportsSports,RacingRacing,,,
35,2022,fall,Yama no Susume: Next Summit,Encouragement of Climb: Next Summit,https://cdn.myanimelist.net/images/anime/1942/126897.jpg,,ヤマノススメ Next Summit,Encouragement of Climb,TV,12,Finished Airing,"Oct 5, 2022 to Dec 21, 2022",Fall 2022,Wednesdays at 00,"Earth Star Entertainment,       Good Smile Company,       King Records,       Kadokawa,       Culture Entertainment",Sentai Filmworks,8bit,Manga,"AdventureAdventure,         Slice of LifeSlice of Life","CGDCTCGDCT,         IyashikeiIyashikei",,24 min. per ep.,PG-13 - Teens 13 or older,"7.641 (scored by 74727,472 users)
      


1
          indicates a weighted score.","#14612

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#4550,"26,816",112,,,,,
