,year,season,jp_title,en_title,img,Japanese,English,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Synonyms,German,Spanish,French,Genre,Theme
0,2021,spring,Tokyo Revengers,,https://cdn.myanimelist.net/images/anime/1839/122012.jpg,東京リベンジャーズ,Tokyo Revengers,TV,24,Finished Airing,"Apr 11, 2021 to Sep 19, 2021",Spring 2021,Sundays at 02,"Mainichi Broadcasting System,       Pony Canyon,       Kodansha,       AT-X,       Ultra Super Pictures,       Studio Mausu,       Sammy",VIZ Media,LIDENFILMS,Manga,"ActionAction,         DramaDrama","DelinquentsDelinquents,         Time TravelTime Travel",ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity),"7.871 (scored by 731284731,284 users)
      


1
          indicates a weighted score.","#8772

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#105,"1,323,564","25,254",,,,,,
1,2021,spring,Boku no Hero Academia 5th Season,My Hero Academia Season 5,https://cdn.myanimelist.net/images/anime/1911/113611.jpg,僕のヒーローアカデミア,My Hero Academia Season 5,TV,25,Finished Airing,"Mar 27, 2021 to Sep 25, 2021",Spring 2021,Saturdays at 17,"Dentsu,       Movic,       Sony Music Entertainment,       TOHO animation,       Shueisha",Funimation,Bones,Manga,,"SchoolSchool,         Super PowerSuper Power",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.361 (scored by 647705647,705 users)
      


1
          indicates a weighted score.","#25432

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#115,"1,259,149","10,226",My Hero Academia 5,My Hero Academia Staffel 5,My Hero Academia Temporada 5,My Hero Academia Saison 5,ActionAction,
2,2021,spring,Fumetsu no Anata e,To Your Eternity,https://cdn.myanimelist.net/images/anime/1880/118484.jpg,不滅のあなたへ,To Your Eternity,TV,20,Finished Airing,"Apr 12, 2021 to Aug 30, 2021",Spring 2021,Mondays at 22,"NHK,       Kodansha,       NHK Enterprises",VIZ Media,Brain's Base,Manga,"AdventureAdventure,         DramaDrama,         SupernaturalSupernatural",,ShounenShounen,25 min. per ep.,R - 17+ (violence & profanity),"8.341 (scored by 390320390,320 users)
      


1
          indicates a weighted score.","#2442

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#199,"922,273","15,100","To You, the Immortal",To Your Eternity,To Your Eternity,To Your Eternity,,
3,2021,spring,86,86 Eighty-Six,https://cdn.myanimelist.net/images/anime/1987/117507.jpg,86―エイティシックス―,86 Eighty-Six,TV,11,Finished Airing,"Apr 11, 2021 to Jun 20, 2021",Spring 2021,Sundays at 00,"Aniplex,       Kadokawa,       Bandai Spirits","None found, add some",A-1 Pictures,Light novel,"ActionAction,         DramaDrama,         Sci-FiSci-Fi","MechaMecha,         MilitaryMilitary",,23 min. per ep.,R - 17+ (violence & profanity),"8.321 (scored by 446396446,396 users)
      


1
          indicates a weighted score.","#2582

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#224,"860,299","23,174",Eighty Six,86 Eighty-Six,86 Eighty-Six,86 Eighty-Six,,
4,2021,spring,"Ijiranaide, Nagatoro-san","Don't Toy with Me, Miss Nagatoro",https://cdn.myanimelist.net/images/anime/1900/110097.jpg,イジらないで、長瀞さん,"Don't Toy with Me, Miss Nagatoro",TV,12,Finished Airing,"Apr 11, 2021 to Jun 27, 2021",Spring 2021,Sundays at 01,"TMS Entertainment,       Mainichi Broadcasting System,       Kodansha,       King Records","None found, add some",Telecom Animation Film,Web manga,"ComedyComedy,         RomanceRomance","Love Status QuoLove Status Quo,         SchoolSchool",,23 min. per ep.,PG-13 - Teens 13 or older,"7.221 (scored by 455946455,946 users)
      


1
          indicates a weighted score.","#32742

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#238,"840,873","8,953","Please don't bully me, Nagatoro","Don´t Toy with Me, Miss Nagatoro","Don´t Toy with Me, Miss Nagatoro","Arrête de me chauffer, Nagatoro",,
5,2021,spring,Hige wo Soru. Soshite Joshikousei wo Hirou.,"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",https://cdn.myanimelist.net/images/anime/1146/113477.jpg,ひげを剃る。そして女子高生を拾う。,Higehiro,TV,13,Finished Airing,"Apr 5, 2021 to Jun 28, 2021",Spring 2021,Mondays at 22,"Toei Video,       Pony Canyon,       AT-X,       Magic Capsule,       KlockWorx,       Hakuhodo DY Music & Pictures,       BS11,       Kadokawa,       Yomiuri Shimbun,       APDREAM,       Dream Shift,       Bergamo","None found, add some",Project No.9,Light novel,"DramaDrama,         RomanceRomance",,,23 min. per ep.,PG-13 - Teens 13 or older,"7.271 (scored by 343249343,249 users)
      


1
          indicates a weighted score.","#30172

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#357,"641,172","6,287","I Shaved. Then I Brought a High School Girl Home., Higehiro",Higehiro,Higehiro,Higehiro,,
6,2021,spring,Vivy: Fluorite Eye's Song,Vivy -Fluorite Eye's Song-,https://cdn.myanimelist.net/images/anime/1551/128960.jpg,Vivy -Fluorite Eye's Song- (ヴィヴィ -フローライトアイズソング-),Vivy -Fluorite Eye's Song-,TV,13,Finished Airing,"Apr 3, 2021 to Jun 19, 2021",Spring 2021,Saturdays at 23,Aniplex,Aniplex of America,Wit Studio,Original,"ActionAction,         Sci-FiSci-Fi,         SuspenseSuspense","MusicMusic,         Time TravelTime Travel",,24 min. per ep.,R - 17+ (violence & profanity),"8.391 (scored by 256981256,981 users)
      


1
          indicates a weighted score.","#2052

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#412,"570,600","11,140",,Vivy - Fluorite Eye´s Song -,,Vivy - Fluorite Eye´s Song -,,
7,2021,spring,Fruits Basket: The Final,Fruits Basket: The Final Season,https://cdn.myanimelist.net/images/anime/1085/114792.jpg,フルーツバスケット The Final,Fruits Basket,TV,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021",Spring 2021,Tuesdays at 01,"TV Tokyo,       TV Osaka,       Nihon Ad Systems,       Hakusensha,       Avex Pictures,       TMS Music,       8PAN",Funimation,TMS Entertainment,Manga,"DramaDrama,         RomanceRomance,         SupernaturalSupernatural",,ShoujoShoujo,23 min. per ep.,PG-13 - Teens 13 or older,"8.961 (scored by 255908255,908 users)
      


1
          indicates a weighted score.","#152

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#460,"514,864","20,749","Fruits Basket 3rd Season, Fruits Basket (2019) 3rd Season, Furuba",Fruits Basket Staffel 3,Fruits Basket,Fruits Basket Saison 3,,
8,2021,spring,Odd Taxi,,https://cdn.myanimelist.net/images/anime/1981/113348.jpg,オッドタクシー,Odd Taxi,TV,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021",Spring 2021,Tuesdays at 02,"TV Tokyo,       Dentsu,       Pony Canyon,       AT-X,       Crunchyroll,       Pony Canyon Enterprises,       Mimoid,       Yoshimoto Kogyo","None found, add some","OLM,       P.I.C.S.",Original,"Award WinningAward Winning,         DramaDrama,         MysteryMystery,         SuspenseSuspense","Adult CastAdult Cast,         AnthropomorphicAnthropomorphic,         Organized CrimeOrganized Crime",,23 min. per ep.,PG-13 - Teens 13 or older,"8.651 (scored by 230957230,957 users)
      


1
          indicates a weighted score.","#782

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#515,"466,997","8,716",,,,,,
9,2021,spring,Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω,How Not to Summon a Demon Lord Ω,https://cdn.myanimelist.net/images/anime/1011/113703.jpg,異世界魔王と召喚少女の奴隷魔術Ω,How Not to Summon a Demon Lord Ω,TV,10,Finished Airing,"Apr 9, 2021 to Jun 11, 2021",Spring 2021,Fridays at 01,"TBS,       Kodansha,       Half H.P Studio,       KlockWorx,       81 Produce,       Avex Pictures,       Crunchyroll,       GREE",Funimation,"Tezuka Productions,       Okuruto Noboru",Light novel,"ActionAction,         ComedyComedy,         FantasyFantasy,         RomanceRomance,         EcchiEcchi","HaremHarem,         IsekaiIsekai",,24 min. per ep.,PG-13 - Teens 13 or older,"6.691 (scored by 198414198,414 users)
      


1
          indicates a weighted score.","#59582

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#559,"439,633","2,750","How Not to Summon a Demon Lord 2nd Season, Isekai Maou to Shoukan Shoujo no Dorei Majutsu 2nd Season, The Otherworldly Demon King and the Summoner Girls' Slave Magic 2nd Season, Isekai Maou to Shoukan Shoujo no Dorei Majutsu Omega",How Not to Summon a Demon Lord Ω,How Not to Summon a Demon Lord Ω,How Not to Summon a Demon Lord Ω,,
10,2021,spring,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita",I've Been Killing Slimes for 300 Years and Maxed Out My Level,https://cdn.myanimelist.net/images/anime/1888/133089.jpg,スライム倒して300年、知らないうちにレベルMAXになってました,I've Been Killing Slimes for 300 Years and Maxed Out My Level,TV,12,Finished Airing,"Apr 10, 2021 to Jun 26, 2021",Spring 2021,Saturdays at 21,"Square Enix,       Movic,       AT-X,       Nippon Columbia,       KlockWorx,       Studio Mausu,       Bushiroad,       Hakuhodo DY Music & Pictures,       Medicos Entertainment,       BS11,       DMM.com,       SB Creative","None found, add some",Revoroot,Light novel,"ComedyComedy,         FantasyFantasy","CGDCTCGDCT,         IsekaiIsekai",,23 min. per ep.,PG-13 - Teens 13 or older,"6.911 (scored by 198342198,342 users)
      


1
          indicates a weighted score.","#47652

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#603,"411,542","2,225",Slime 300,I've Been Killing Slimes For 300 Years And Maxed Out My Level,I've Been Killing Slimes For 300 Years And Maxed Out My Level,La Sorcière invincible tueuse de Slime depuis 300 ans,,
11,2021,spring,"Sentouin, Haken shimasu!",Combatants Will Be Dispatched!,https://cdn.myanimelist.net/images/anime/1444/115118.jpg,戦闘員、派遣します！,Combatants Will Be Dispatched!,TV,12,Finished Airing,"Apr 4, 2021 to Jun 20, 2021",Spring 2021,Sundays at 21,"Nippon Columbia,       Kadokawa",Funimation,J.C.Staff,Light novel,"ActionAction,         ComedyComedy,         FantasyFantasy",,,24 min. per ep.,PG-13 - Teens 13 or older,"7.141 (scored by 186661186,661 users)
      


1
          indicates a weighted score.","#36882

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#623,"398,127","2,050",,Kombattanten Werden Entsandt!,,,,IsekaiIsekai
12,2021,spring,Tensura Nikki: Tensei shitara Slime Datta Ken,The Slime Diaries,https://cdn.myanimelist.net/images/anime/1458/117607.jpg,転スラ日記 転生したらスライムだった件,The Slime Diaries,TV,12,Finished Airing,"Apr 6, 2021 to Jun 22, 2021",Spring 2021,Tuesdays at 23,"Lantis,       Kodansha,       BS11,       Bandai Namco Arts,       Micro Magazine Publishing,       Bandai Spirits,       Sony Music Solutions,       ADK Marketing Solutions","None found, add some",8bit,Manga,"ComedyComedy,         FantasyFantasy","IsekaiIsekai,         ReincarnationReincarnation",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.591 (scored by 161920161,920 users)
      


1
          indicates a weighted score.","#16172

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#699,"360,897","2,111",,The Slime Diaries,The Slime Diaries,The Slime Diaries,,
13,2021,spring,Mairimashita! Iruma-kun 2nd Season,Welcome to Demon School! Iruma-kun Season 2,https://cdn.myanimelist.net/images/anime/1527/113656.jpg,魔入りました！入間くん,Welcome to Demon School! Iruma-kun Season 2,TV,21,Finished Airing,"Apr 17, 2021 to Sep 11, 2021",Spring 2021,Saturdays at 17,"NHK,       NHK Enterprises","None found, add some",Bandai Namco Pictures,Manga,"ComedyComedy,         FantasyFantasy",,ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"8.031 (scored by 171851171,851 users)
      


1
          indicates a weighted score.","#6212

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#735,"345,236","2,431",Welcome to Demon School! Iruma-kun 2nd Season,Welcome to Demon School! Iruma-kun Staffel 2,Welcome to Demon School! Iruma-kun Temporada 2,Welcome to Demon School! Iruma-kun Saison 2,,SchoolSchool
14,2021,spring,Osananajimi ga Zettai ni Makenai Love Comedy,Osamake: Romcom Where The Childhood Friend Won't Lose,https://cdn.myanimelist.net/images/anime/1111/113327.jpg,幼なじみが絶対に負けないラブコメ,Osamake,TV,12,Finished Airing,"Apr 14, 2021 to Jun 30, 2021",Spring 2021,Wednesdays at 21,"AT-X,       Delfi Sound,       Sun TV,       Kadokawa","None found, add some",Doga Kobo,Light novel,"ComedyComedy,         RomanceRomance","HaremHarem,         SchoolSchool",,23 min. per ep.,PG-13 - Teens 13 or older,"6.071 (scored by 123521123,521 users)
      


1
          indicates a weighted score.","#95742

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#922,"279,689","1,658","The Romcom Where The Childhood Friend Won't Lose!, Osamake",Osamake,Osamake,Osamake,,
15,2021,spring,Shaman King (2021),,https://cdn.myanimelist.net/images/anime/1416/113270.jpg,SHAMAN KING,,TV,52,Finished Airing,"Apr 1, 2021 to Apr 21, 2022",Spring 2021,Thursdays at 17,TV Tokyo,"None found, add some",Bridge,Manga,"ActionAction,         AdventureAdventure,         SupernaturalSupernatural",,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"6.901 (scored by 7711877,118 users)
      


1
          indicates a weighted score.","#48272

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#946,"271,882","1,735",,Shaman King,Shaman King,Shaman King,,
16,2021,spring,Edens Zero,,https://cdn.myanimelist.net/images/anime/1011/111811.jpg,EDENS ZERO,Edens Zero,TV,25,Finished Airing,"Apr 11, 2021 to Oct 3, 2021",Spring 2021,Sundays at 00,"Kodansha,       Magic Capsule,       Nippon Television Music","None found, add some",J.C.Staff,Manga,"ActionAction,         AdventureAdventure,         FantasyFantasy,         Sci-FiSci-Fi",,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.261 (scored by 101148101,148 users)
      


1
          indicates a weighted score.","#30292

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#953,"270,775","1,961",,,,,,SpaceSpace
17,2021,spring,Yuukoku no Moriarty Part 2,Moriarty the Patriot Part 2,https://cdn.myanimelist.net/images/anime/1200/111522.jpg,憂国のモリアーティ,Moriarty the Patriot Part 2,TV,13,Finished Airing,"Apr 4, 2021 to Jun 27, 2021",Spring 2021,Sundays at 22,"Mainichi Broadcasting System,       Shueisha,       Yomiuri TV Enterprise,       Bandai Namco Arts,       Bandai Spirits",Funimation,Production I.G,Manga,"MysteryMystery,         SuspenseSuspense","Adult CastAdult Cast,         HistoricalHistorical,         Organized CrimeOrganized Crime,         PsychologicalPsychological",ShounenShounen,23 min. per ep.,R - 17+ (violence & profanity),"8.281 (scored by 125968125,968 users)
      


1
          indicates a weighted score.","#3022

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#954,"270,556","3,217","Moriarty's Patriotism Part 2, Moriarty the Patriot 2",Moriarty the Patriot Staffel 2,,Moriarty the Patriot Saison 2,,
18,2021,spring,Shadows House,,https://cdn.myanimelist.net/images/anime/1424/113342.jpg,シャドーハウス,Shadows House,TV,13,Finished Airing,"Apr 11, 2021 to Jul 4, 2021",Spring 2021,Sundays at 00,"Aniplex,       WOWOW,       Tokyo MX,       Shueisha,       BS Asahi",Funimation,CloverWorks,Manga,"FantasyFantasy,         MysteryMystery",,SeinenSeinen,23 min. per ep.,PG-13 - Teens 13 or older,"7.801 (scored by 106469106,469 users)
      


1
          indicates a weighted score.","#10362

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#986,"264,266","2,196",,,,,,
19,2021,spring,Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara,Full Dive: The Ultimate Next-Gen Full Dive RPG Is Even Shittier than Real Life!,https://cdn.myanimelist.net/images/anime/1357/113277.jpg,究極進化したフルダイブRPGが現実よりもクソゲーだったら,Full Dive,TV,12,Finished Airing,"Apr 7, 2021 to Jun 23, 2021",Spring 2021,Wednesdays at 22,"AT-X,       Sammy,       Kadokawa Media House,       Kadokawa,       Bit grooove promotion",Funimation,ENGI,Light novel,"ActionAction,         ComedyComedy,         FantasyFantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"6.471 (scored by 121291121,291 users)
      


1
          indicates a weighted score.","#72552

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#988,"263,716","1,146",What If the Ultimately Evolved Full Dive RPG was a Crappier Game than Reality,Full Dive,,,,Video GameVideo Game
20,2021,spring,Koi to Yobu ni wa Kimochi Warui,Koikimo,https://cdn.myanimelist.net/images/anime/1519/110527.jpg,恋と呼ぶには気持ち悪い,Koikimo,TV,12,Finished Airing,"Apr 5, 2021 to Jun 14, 2021",Spring 2021,Mondays at 22,"BS Fuji,       Hokkaido Cultural Broadcasting,       Amusement Media Academy,       Ichijinsha,       Kanetsu Investment,       Sonilude,       Toyo Recording,       BloomZ,       AMG Entertainment,       MediaNet Pictures,       Christmas Holly,       Miyazaki Broadcasting,       C-one","None found, add some",Nomad,Web manga,"ComedyComedy,         RomanceRomance",,,23 min. per ep.,PG-13 - Teens 13 or older,"7.121 (scored by 114254114,254 users)
      


1
          indicates a weighted score.","#38002

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1038,"248,876","1,709",It's Too Sick to Call this Love,Koikimo,Koikimo,Koikimo,,SchoolSchool
21,2021,spring,Zombieland Saga Revenge,,https://cdn.myanimelist.net/images/anime/1118/115156.jpg,ゾンビランドサガ リベンジ,Zombie Land Saga Revenge,TV,12,Finished Airing,"Apr 8, 2021 to Jun 24, 2021",Spring 2021,Thursdays at 23,"AT-X,       Avex Pictures,       CyberAgent,       dugout",Funimation,MAPPA,Original,"ComedyComedy,         SupernaturalSupernatural","Idols (Female)Idols (Female),         MusicMusic,         ParodyParody",,23 min. per ep.,R - 17+ (violence & profanity),"7.991 (scored by 9127691,276 users)
      


1
          indicates a weighted score.","#6762

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1148,"226,562","1,598",Zombieland Saga Second Season,Zombie Land Saga Revenge,Zombieland Saga Revenge,Zombie Land Saga Revenge,,
22,2021,spring,Seijo no Maryoku wa Bannou desu,The Saint's Magic Power is Omnipotent,https://cdn.myanimelist.net/images/anime/1947/114235.jpg,聖女の魔力は万能です,The Saint's Magic Power is Omnipotent,TV,12,Finished Airing,"Apr 6, 2021 to Jun 22, 2021",Spring 2021,Tuesdays at 23,"Lantis,       Kadokawa,       Bit grooove promotion",Funimation,Diomedéa,Light novel,"FantasyFantasy,         RomanceRomance","IsekaiIsekai,         MedicalMedical",,23 min. per ep.,PG-13 - Teens 13 or older,"7.311 (scored by 105419105,419 users)
      


1
          indicates a weighted score.","#27942

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1163,"224,092","1,292",The power of the saint is all around.,The Saint's Magic Power is Omnipotent,The Saint's Magic Power is Omnipotent,The Saint's Magic Power is Omnipotent,,
23,2021,spring,Nomad: Megalo Box 2,Megalobox 2: Nomad,https://cdn.myanimelist.net/images/anime/1190/113352.jpg,NOMAD メガロボクス2,Megalobox 2,TV,13,Finished Airing,"Apr 4, 2021 to Jun 27, 2021",Spring 2021,Sundays at 23,"Kodansha,       Tohokushinsha Film Corporation,       Bandai Namco Arts",Funimation,TMS Entertainment,Original,"Sci-FiSci-Fi,         SportsSports","Adult CastAdult Cast,         Combat SportsCombat Sports",,24 min. per ep.,R - 17+ (violence & profanity),"8.181 (scored by 8709587,095 users)
      


1
          indicates a weighted score.","#4172

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1231,"209,567","2,190",,,,,,
24,2021,spring,Mashiro no Oto,Those Snow White Notes,https://cdn.myanimelist.net/images/anime/1841/111554.jpg,ましろのおと,Those Snow White Notes,TV,12,Finished Airing,"Apr 3, 2021 to Jun 19, 2021",Spring 2021,Saturdays at 02,DMM Music,"None found, add some",Shin-Ei Animation,Manga,,"MusicMusic,         SchoolSchool",ShounenShounen,24 min. per ep.,PG-13 - Teens 13 or older,"7.531 (scored by 6240362,403 users)
      


1
          indicates a weighted score.","#18632

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1605,"155,022",797,,Those Snow White Notes,Those Snow White Notes,Those Snow White Notes,DramaDrama,
25,2021,spring,SSSS.Dynazenon,,https://cdn.myanimelist.net/images/anime/1880/113766.jpg,SSSS.DYNAZENON,SSSS.Dynazenon,TV,12,Finished Airing,"Apr 2, 2021 to Jun 18, 2021",Spring 2021,Fridays at 22,"Mainichi Broadcasting System,       Pony Canyon,       Tsuburaya Productions,       Ultra Super Pictures,       Memory-Tech,       Good Smile Company,       BS11",Funimation,Trigger,Original,"ActionAction,         Sci-FiSci-Fi",,,23 min. per ep.,PG-13 - Teens 13 or older,"7.431 (scored by 4589545,895 users)
      


1
          indicates a weighted score.","#22412

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1732,"139,737",901,,,,,,MechaMecha
26,2021,spring,Mars Red,,https://cdn.myanimelist.net/images/anime/1212/113448.jpg,MARS RED,Mars Red,TV,13,Finished Airing,"Apr 6, 2021 to Jun 29, 2021",Spring 2021,Tuesdays at 01,"VAP,       Yomiuri TV Enterprise,       Pony Canyon Enterprises,       D-techno,       Nihon Keizai Koukokusha",Funimation,Signal.MD,Other,"ActionAction,         SupernaturalSupernatural","Adult CastAdult Cast,         HistoricalHistorical,         MilitaryMilitary,         VampireVampire",,23 min. per ep.,PG-13 - Teens 13 or older,"6.581 (scored by 3730337,303 users)
      


1
          indicates a weighted score.","#65922

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1832,"129,490",597,,,,,,
27,2021,spring,Super Cub,,https://cdn.myanimelist.net/images/anime/1776/111172.jpg,スーパーカブ,Super Cub,TV,12,Finished Airing,"Apr 7, 2021 to Jun 23, 2021",Spring 2021,Wednesdays at 23,"Chiptune,       Kadokawa,       Bandai Namco Arts",Funimation,Studio Kai,Light novel,,"CGDCTCGDCT,         IyashikeiIyashikei,         SchoolSchool",,24 min. per ep.,PG-13 - Teens 13 or older,"7.451 (scored by 4986549,865 users)
      


1
          indicates a weighted score.","#21422

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1916,"122,909","1,043",,,,,Slice of LifeSlice of Life,
28,2021,spring,Bakuten!!,Backflip!!,https://cdn.myanimelist.net/images/anime/1827/113510.jpg,バクテン!!,Backflip!!,TV,12,Finished Airing,"Apr 9, 2021 to Jun 25, 2021",Spring 2021,Fridays at 00,"Aniplex,       Dentsu,       Animax,       Movic,       Fuji TV,       BS Fuji,       Aeon Entertainment","None found, add some",Zexcs,Original,,"Performing ArtsPerforming Arts,         SchoolSchool",,22 min. per ep.,PG-13 - Teens 13 or older,"7.491 (scored by 4052640,526 users)
      


1
          indicates a weighted score.","#19922

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2077,"110,530",924,,Backflip!!,Backflip!!,Backflip!!,SportsSports,
29,2021,spring,Bishounen Tanteidan,Pretty Boy Detective Club,https://cdn.myanimelist.net/images/anime/1693/115133.jpg,美少年探偵団,Pretty Boy Detective Club,TV,12,Finished Airing,"Apr 11, 2021 to Jun 27, 2021",Spring 2021,Sundays at 02,"Aniplex,       Kodansha,       Movic,       Sammy,       ABC Animation",Aniplex of America,Shaft,Novel,,"CrossdressingCrossdressing,         DetectiveDetective,         SchoolSchool,         Visual ArtsVisual Arts",,23 min. per ep.,PG-13 - Teens 13 or older,"7.081 (scored by 3344633,446 users)
      


1
          indicates a weighted score.","#39872

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2128,"105,775",599,Bishounen Series,Pretty Boy Detective Club,,Pretty Boy Detective Club,MysteryMystery,
30,2021,spring,Shakunetsu Kabaddi,Burning Kabaddi,https://cdn.myanimelist.net/images/anime/1936/114022.jpg,灼熱カバディ,Burning Kabaddi,TV,12,Finished Airing,"Apr 3, 2021 to Jun 19, 2021",Spring 2021,Saturdays at 01,TV Tokyo,"None found, add some",TMS Entertainment,Web manga,"ComedyComedy,         SportsSports","SchoolSchool,         Team SportsTeam Sports",,23 min. per ep.,PG-13 - Teens 13 or older,"7.011 (scored by 4201842,018 users)
      


1
          indicates a weighted score.","#43622

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2133,"105,623",749,,Burning Kabaddi,Burning Kabaddi,Burning Kabaddi,,
31,2021,spring,Jouran: The Princess of Snow and Blood,Joran The Princess of Snow and Blood,https://cdn.myanimelist.net/images/anime/1289/115673.jpg,擾乱 THE PRINCESS OF SNOW AND BLOOD,Joran The Princess of Snow and Blood,TV,12,Finished Airing,"Apr 7, 2021 to Jun 23, 2021",Spring 2021,Wednesdays at 01,"Dentsu,       Tatsunoko Production,       Bushiroad,       Nippon Television Network,       Bushiroad Music,       Sonilude,       HJ Holdings,       Bushiroad Move","None found, add some",Bakken Record,Original,"ActionAction,         SupernaturalSupernatural",,,22 min. per ep.,R - 17+ (violence & profanity),"6.111 (scored by 3043330,433 users)
      


1
          indicates a weighted score.","#93102

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2234,"98,823",382,,,,,,HistoricalHistorical
32,2021,spring,Subarashiki Kono Sekai The Animation,The World Ends with You The Animation,https://cdn.myanimelist.net/images/anime/1016/111566.jpg,すばらしきこのせかい The Animation,The World Ends with You The Animation,TV,12,Finished Airing,"Apr 10, 2021 to Jun 26, 2021",Spring 2021,Saturdays at 02,"Dentsu,       Square Enix,       Mainichi Broadcasting System",Funimation,"Shin-Ei Animation,       domerica",Game,"ActionAction,         AdventureAdventure",,,23 min. per ep.,PG-13 - Teens 13 or older,"6.151 (scored by 2322823,228 users)
      


1
          indicates a weighted score.","#91162

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2657,"74,656",329,"It's a Wonderful World, This Wonderful World, Subarashiki Konosekai, Subaseka, TWEWY",The World Ends with You The Animation,,The World Ends with You The Animation,,
33,2021,spring,Godzilla: S.P,Godzilla Singular Point,https://cdn.myanimelist.net/images/anime/1447/114837.jpg,ゴジラ S.P ＜シンギュラポイント＞,Godzilla Singular Point,TV,13,Finished Airing,"Apr 1, 2021 to Jun 24, 2021",Spring 2021,Thursdays at 22,"TOHO animation,       Toho Music","None found, add some","Bones,       Orange",Original,"ActionAction,         Award WinningAward Winning,         MysteryMystery,         Sci-FiSci-Fi",,,23 min. per ep.,PG-13 - Teens 13 or older,"6.651 (scored by 3062730,627 users)
      


1
          indicates a weighted score.","#61952

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2738,"71,439",389,,,Godzilla Singular Point,,,MechaMecha
