year;season;jp_title;img;Japanese;Episodes;Starting;Ending;Producers;Studios;Source;Age Rating;Rating Score;Rating Score Num;Reviewers;Rating Score Rank;Popularity Rank;Members;Favorites
2021;winter;Meitantei Conan;https://cdn.myanimelist.net/images/anime/7/75199.jpg;名探偵コナン;Unknown;8 Jan 1996;Unknown;Yomiuri Telecasting, Shogakukan, Audio Planning U, Tokyo Movie, Polydor Records;TMS Entertainment;Manga;PG-13 - Teens 13 or older;8.171;8.17;164197164197;"4352

2
 ";703;360470;15311
2021;winter;Dr. Stone: Stone Wars;https://cdn.myanimelist.net/images/anime/1711/110614.jpg;ドクターストーン STONE WARS;11;14 Jan 2021;25 Mar 2021;TOHO animation, Shueisha, Toho Music, 8PAN;TMS Entertainment;Manga;PG-13 - Teens 13 or older;8.151;8.15;630896630896;"4622

2
 ";144;1105489;7420
2021;winter;Black Clover;https://cdn.myanimelist.net/images/anime/2/88336.jpg;ブラッククローバー;170;3 Oct 2017;30 Mar 2021;TV Tokyo, Avex Pictures, Shueisha;Pierrot;Manga;PG-13 - Teens 13 or older;8.141;8.14;908248908248;"4742

2
 ";57;1768552;48404
2021;winter;Uma Musume: Pretty Derby Season 2;https://cdn.myanimelist.net/images/anime/1447/114282.jpg;ウマ娘 プリティーダービー Season 2;13;5 Jan 2021;30 Mar 2021;TOHO animation, Cygames;Studio Kai;Game;PG-13 - Teens 13 or older;8.061;8.06;2534725347;"5902

2
 ";3064;58147;904
2021;winter;World Trigger 2nd Season;https://cdn.myanimelist.net/images/anime/1598/110462.jpg;ワールドトリガー;12;10 Jan 2021;4 Apr 2021;TV Asahi;Toei Animation;Manga;PG-13 - Teens 13 or older;8.051;8.05;6277162771;"5932

2
 ";1546;162666;812
2021;winter;5-toubun no Hanayome ∬;https://cdn.myanimelist.net/images/anime/1775/109514.jpg;五等分の花嫁∬;12;8 Jan 2021;26 Mar 2021;Pony Canyon, Kodansha, DAX Production, BS11, Nichion, GYAO!, Good Smile Film, MAGNET;Bibury Animation Studios;Manga;PG-13 - Teens 13 or older;8.021;8.02;460373460373;"6432

2
 ";279;758384;11628
2021;winter;SK∞;https://cdn.myanimelist.net/images/anime/1549/119195.jpg;SK∞ エスケーエイト;12;10 Jan 2021;4 Apr 2021;Aniplex, Movic, ABC Animation;Bones;Original;PG-13 - Teens 13 or older;8.001;8.00;300114300114;"6712

2
 ";392;590843;13450
2021;winter;Bungou Stray Dogs Wan!;https://cdn.myanimelist.net/images/anime/1293/111430.jpg;文豪ストレイドッグス わん！;12;13 Jan 2021;31 Mar 2021;Kadokawa;Bones, Nomad;Web manga;PG-13 - Teens 13 or older;7.981;7.98;5356453564;"6852

2
 ";1882;125754;1164
2021;winter;Beastars 2nd Season;https://cdn.myanimelist.net/images/anime/1097/109646.jpg;BEASTARS 2期;12;7 Jan 2021;25 Mar 2021;Movic, Fuji TV, Bandai, BS Fuji, TOHO animation, Q-Tec, Akita Shoten, Hakuhodo DY Media Partners, Bandai Spirits, Toho Music;Orange;Manga;R - 17+ (violence & profanity);7.771;7.77;244583244583;"11012

2
 ";513;467473;2275
2021;spring;One Piece;https://cdn.myanimelist.net/images/anime/1244/138851.jpg;ONE PIECE;Unknown;20 Oct 1999;Unknown;Fuji TV, TAP, Shueisha;Toei Animation;Manga;PG-13 - Teens 13 or older;8.731;8.73;14167841416784;"502

2
 ";17;2491944;234234
2021;winter;Dragon Quest: Dai no Daibouken (2020);https://cdn.myanimelist.net/images/anime/1499/109126.jpg;ドラゴンクエスト ダイの大冒険;100;3 Oct 2020;22 Oct 2022;TV Tokyo, Square Enix, Shueisha;Toei Animation;Manga;PG-13 - Teens 13 or older;7.731;7.73;2596225962;"12182

2
 ";2613;76566;644
2021;winter;Wonder Egg Priority;https://cdn.myanimelist.net/images/anime/1079/110751.jpg;ワンダーエッグ・プライオリティ;12;13 Jan 2021;31 Mar 2021;Aniplex, D.N. Dream Partners;CloverWorks;Original;R - 17+ (violence & profanity);7.561;7.56;355311355311;"17252

2
 ";263;790421;9204
2021;winter;Hataraku Saibou Black;https://cdn.myanimelist.net/images/anime/1837/110799.jpg;はたらく細胞BLACK;13;10 Jan 2021;19 Mar 2021;Aniplex, Kodansha, Studio Mausu, Tokyo MX, NetEase;LIDENFILMS;Manga;PG-13 - Teens 13 or older;7.521;7.52;8291882918;"18892

2
 ";1111;234437;457
2021;winter;Kumo desu ga, Nani ka?;https://cdn.myanimelist.net/images/anime/1593/113724.jpg;蜘蛛ですが、なにか？;24;8 Jan 2021;3 Jul 2021;Movic, AT-X, Sammy, Crunchyroll, Kadokawa Media House, NTT Plala, Kadokawa;Millepensee;Light novel;PG-13 - Teens 13 or older;7.451;7.45;250373250373;"21542

2
 ";502;473394;4597
2021;winter;Idoly Pride;https://cdn.myanimelist.net/images/anime/1025/111962.jpg;IDOLY PRIDE;12;10 Jan 2021;28 Mar 2021;Half H.P Studio, F.M.F, CyberAgent, Wicky.Records;Lerche;Mixed media;PG-13 - Teens 13 or older;7.411;7.41;1980219802;"23112

2
 ";2759;70276;570
2021;winter;Osomatsu-san 3rd Season;https://cdn.myanimelist.net/images/anime/1290/113445.jpg;おそ松さん 第3期;25;13 Oct 2020;30 Mar 2021;TV Tokyo, Dentsu, Rakuonsha, Avex Pictures, Daiichi Shokai;Pierrot;Manga;R - 17+ (violence & profanity);7.401;7.40;84058405;"23552

2
 ";4751;24097;111
2021;spring;Meitantei Conan;https://cdn.myanimelist.net/images/anime/7/75199.jpg;名探偵コナン;Unknown;8 Jan 1996;Unknown;Yomiuri Telecasting, Shogakukan, Audio Planning U, Tokyo Movie, Polydor Records;TMS Entertainment;Manga;PG-13 - Teens 13 or older;8.171;8.17;164197164197;"4352

2
 ";703;360470;15311
2021;winter;Tropical-Rouge! Precure;https://cdn.myanimelist.net/images/anime/1184/110907.jpg;トロピカル～ジュ！プリキュア;46;28 Feb 2021;30 Jan 2022;ABC Animation, ADK Emotions;Toei Animation;Original;G - All Ages;7.391;7.39;45434543;"23982

2
 ";5864;14126;147
2021;winter;Kemono Jihen;https://cdn.myanimelist.net/images/anime/1258/108331.jpg;怪物事変;12;10 Jan 2021;28 Mar 2021;Frontier Works, Lantis, Shueisha, Yomiuri TV Enterprise, Bandai Namco Arts, JTB Next Creation;Ajia-do;Manga;R - 17+ (violence & profanity);7.371;7.37;177392177392;"24772

2
 ";628;397140;2303
2021;summer;One Piece;https://cdn.myanimelist.net/images/anime/1244/138851.jpg;ONE PIECE;Unknown;20 Oct 1999;Unknown;Fuji TV, TAP, Shueisha;Toei Animation;Manga;PG-13 - Teens 13 or older;8.731;8.73;14167901416790;"502

2
 ";17;2491944;234235
2021;winter;Hataraku Saibou!!;https://cdn.myanimelist.net/images/anime/1726/114552.jpg;はたらく細胞!!;8;9 Jan 2021;27 Feb 2021;Aniplex, Kodansha, Magic Capsule;David Production;Manga;PG-13 - Teens 13 or older;7.371;7.37;102613102613;"24982

2
 ";906;284701;601
2021;winter;Inu to Neko Docchi mo Katteru to Mainichi Tanoshii;https://cdn.myanimelist.net/images/anime/1332/109356.jpg;犬と猫どっちも飼ってると毎日たのしい;24;3 Oct 2020;27 Mar 2021;Half H.P Studio, studioGONG;Team TillDawn;Web manga;G - All Ages;7.231;7.23;82148214;"31962

2
 ";5593;15984;44
2021;winter;Kiratto Pri☆chan Season 3;https://cdn.myanimelist.net/images/anime/1500/105552.jpg;キラッとプリ☆チャン シーズン3;51;5 Apr 2020;30 May 2021;syn Sophia;Tatsunoko Production;Game;PG - Children;7.231;7.23;972972;"32122

2
 ";10519;3008;11
2021;winter;Higurashi no Naku Koro ni Gou;https://cdn.myanimelist.net/images/anime/1716/111533.jpg;ひぐらしのなく頃に業;24;1 Oct 2020;19 Mar 2021;Frontier Works, Sotsu, MAGES., Tokyo MX, Infinite, BS11, Daiichi Shokai, Kadokawa, ELF-IN;Passione;Visual novel;R - 17+ (violence & profanity);7.201;7.20;9630096300;"33622

2
 ";900;288572;1602
2021;summer;Meitantei Conan;https://cdn.myanimelist.net/images/anime/7/75199.jpg;名探偵コナン;Unknown;8 Jan 1996;Unknown;Yomiuri Telecasting, Shogakukan, Audio Planning U, Tokyo Movie, Polydor Records;TMS Entertainment;Manga;PG-13 - Teens 13 or older;8.171;8.17;164197164197;"4352

2
 ";703;360470;15311
2021;winter;Tenchi Souzou Design-bu;https://cdn.myanimelist.net/images/anime/1339/113938.jpg;天地創造デザイン部;12;7 Jan 2021;25 Mar 2021;Dentsu, Kodansha, AT-X, Studio Mausu, BS Fuji, Tokyo MX, Avex Pictures, TV Aichi;Asahi Production;Manga;PG-13 - Teens 13 or older;7.161;7.16;3394333943;"35992

2
 ";2500;82790;308
2021;fall;One Piece;https://cdn.myanimelist.net/images/anime/1244/138851.jpg;ONE PIECE;Unknown;20 Oct 1999;Unknown;Fuji TV, TAP, Shueisha;Toei Animation;Manga;PG-13 - Teens 13 or older;8.731;8.73;14167921416792;"502

2
 ";17;2491961;234235
2021;winter;Kai Byoui Ramune;https://cdn.myanimelist.net/images/anime/1443/110157.jpg;怪病医ラムネ;12;10 Jan 2021;28 Mar 2021;Kodansha, KlockWorx, King Records, Crunchyroll, Muse Communication;Platinum Vision;Manga;PG-13 - Teens 13 or older;7.151;7.15;3393433934;"36192

2
 ";2449;85346;335
2021;winter;Show by Rock!! Stars!!;https://cdn.myanimelist.net/images/anime/1713/106712.jpg;SHOW BY ROCK!! STARS!!;12;7 Jan 2021;25 Mar 2021;Dentsu, Square Enix, Pony Canyon, Sanrio, KlockWorx, BS Fuji, 81 Produce, Tokyo MX, Hokkaido Cultural Broadcasting, Sammy, FuRyu, Sony Music Solutions;Kinema Citrus;Game;PG-13 - Teens 13 or older;7.141;7.14;37713771;"36912

2
 ";6031;13170;50
2021;winter;Jaku-Chara Tomozaki-kun;https://cdn.myanimelist.net/images/anime/1120/109232.jpg;弱キャラ友崎くん;12;8 Jan 2021;26 Mar 2021;Pony Canyon, APDREAM, Bit grooove promotion, Dream Shift, Bergamo;Project No.9;Light novel;PG-13 - Teens 13 or older;7.111;7.11;207832207832;"38672

2
 ";594;414872;2010
2021;winter;Log Horizon: Entaku Houkai;https://cdn.myanimelist.net/images/anime/1510/108026.jpg;ログ・ホライズン 円卓崩壊;12;13 Jan 2021;31 Mar 2021;None found, add some;Studio Deen;Light novel;PG-13 - Teens 13 or older;7.071;7.07;8929889298;"40462

2
 ";1019;256187;647
2021;winter;Maiko-san Chi no Makanai-san;https://cdn.myanimelist.net/images/anime/1355/111545.jpg;舞妓さんちのまかないさん;12;25 Feb 2021;27 Jan 2022;NHK, NHK Enterprises;J.C.Staff;Manga;PG-13 - Teens 13 or older;7.031;7.03;47014701;"42532

2
 ";5166;19674;68
2021;fall;Meitantei Conan;https://cdn.myanimelist.net/images/anime/7/75199.jpg;名探偵コナン;Unknown;8 Jan 1996;Unknown;Yomiuri Telecasting, Shogakukan, Audio Planning U, Tokyo Movie, Polydor Records;TMS Entertainment;Manga;PG-13 - Teens 13 or older;8.171;8.17;164197164197;"4352

2
 ";703;360470;15311
2021;winter;Azur Lane: Bisoku Zenshin!;https://cdn.myanimelist.net/images/anime/1137/113872.jpg;アズールレーン びそくぜんしんっ!;12;12 Jan 2021;30 Mar 2021;Delfi Sound, Yostar Pictures;Studio CANDY BOX;4-koma manga;PG-13 - Teens 13 or older;7.011;7.01;2107321073;"43482

2
 ";3185;53717;254
2022;winter;One Piece;https://cdn.myanimelist.net/images/anime/1244/138851.jpg;ONE PIECE;Unknown;20 Oct 1999;Unknown;Fuji TV, TAP, Shueisha;Toei Animation;Manga;PG-13 - Teens 13 or older;8.731;8.73;14168001416800;"502

2
 ";17;2491961;234238
2021;winter;D4DJ Petit Mix;https://cdn.myanimelist.net/images/anime/1089/113814.jpg;ぷっちみく♪;26;5 Feb 2021;30 Jul 2021;None found, add some;W-Toon Studio, DMM.futureworks;Mixed media;PG-13 - Teens 13 or older;6.981;6.98;30183018;"44742

2
 ";7611;7389;27
2021;winter;Healin' Good♡Precure;https://cdn.myanimelist.net/images/anime/1401/105084.jpg;ヒーリングっど♥プリキュア;45;2 Feb 2020;21 Feb 2021;Asatsu DK, Asahi Broadcasting, ABC Animation;Toei Animation;Original;G - All Ages;6.921;6.92;41924192;"47392

2
 ";6047;13036;84
2021;winter;Hanyou no Yashahime: Sengoku Otogizoushi;https://cdn.myanimelist.net/images/anime/1005/114781.jpg;半妖の夜叉姫 -戦国御伽草子-;24;3 Oct 2020;20 Mar 2021;Shogakukan, Yomiuri TV Enterprise;Sunrise;Original;PG-13 - Teens 13 or older;6.701;6.70;3843838438;"59282

2
 ";1861;127860;653
2021;winter;Shin Chuuka Ichiban! 2nd Season;https://cdn.myanimelist.net/images/anime/1503/109131.jpg;真・中華一番!;12;11 Jan 2021;30 Mar 2021;Kodansha;Production I.G, Nihon Ad Systems;Manga;PG-13 - Teens 13 or older;6.681;6.68;19201920;"60482

2
 ";8257;6061;12
2021;winter;Urasekai Picnic;https://cdn.myanimelist.net/images/anime/1494/111515.jpg;裏世界ピクニック;12;4 Jan 2021;22 Mar 2021;Sony Pictures Entertainment, Square Enix, Frontier Works, AT-X, Hakuhodo DY Music & Pictures, Amusement Media Academy, BS11, Good Smile Film, Hayakawa Shobou;LIDENFILMS, Felix Film;Novel;R - 17+ (violence & profanity);6.651;6.65;4205242052;"62152

2
 ";1865;127724;567
2021;winter;Nanatsu no Taizai: Funnu no Shinpan;https://cdn.myanimelist.net/images/anime/1011/111551.jpg;七つの大罪 憤怒の審判;24;13 Jan 2021;23 Jun 2021;TV Tokyo;Studio Deen;Manga;PG-13 - Teens 13 or older;6.571;6.57;215880215880;"66732

2
 ";533;451468;1582
2022;winter;Meitantei Conan;https://cdn.myanimelist.net/images/anime/7/75199.jpg;名探偵コナン;Unknown;8 Jan 1996;Unknown;Yomiuri Telecasting, Shogakukan, Audio Planning U, Tokyo Movie, Polydor Records;TMS Entertainment;Manga;PG-13 - Teens 13 or older;8.171;8.17;164198164198;"4352

2
 ";703;360471;15311
2021;winter;I★Chu: Halfway Through the Idol;https://cdn.myanimelist.net/images/anime/1212/113946.jpg;アイ★チュウ HALFWAY THROUGH THE IDOL;12;6 Jan 2021;24 Mar 2021;Half H.P Studio, Twin Engine;Lay-duce;Game;PG-13 - Teens 13 or older;6.561;6.56;53385338;"67252

2
 ";5399;17562;119
2021;winter;Aikatsu Planet!;https://cdn.myanimelist.net/images/anime/1319/111189.jpg;アイカツプラネット！;24;10 Jan 2021;27 Jun 2021;Sunrise Music;Bandai Namco Pictures;Game;PG - Children;6.551;6.55;12641264;"67832

2
 ";9406;4256;27
2021;winter;World Witches Hasshin Shimasu!;https://cdn.myanimelist.net/images/anime/1132/110412.jpg;ワールドウィッチーズ発進しますっ！;12;13 Jan 2021;31 Mar 2021;Nippon Columbia, Glovision;Acca effe, Giga Production;Original;PG-13 - Teens 13 or older;6.491;6.49;33753375;"71292

2
 ";6099;12757;17
2022;spring;One Piece;https://cdn.myanimelist.net/images/anime/1244/138851.jpg;ONE PIECE;Unknown;20 Oct 1999;Unknown;Fuji TV, TAP, Shueisha;Toei Animation;Manga;PG-13 - Teens 13 or older;8.731;8.73;14168051416805;"502

2
 ";17;2491977;234238
2021;winter;Skate-Leading☆Stars;https://cdn.myanimelist.net/images/anime/1807/106481.jpg;スケートリーディング☆スターズ;12;10 Jan 2021;28 Mar 2021;None found, add some;J.C.Staff;Original;PG-13 - Teens 13 or older;6.451;6.45;1346913469;"73942

2
 ";3586;43494;157
2021;winter;Yatogame-chan Kansatsu Nikki Sansatsume;https://cdn.myanimelist.net/images/anime/1389/111080.jpg;八十亀ちゃんかんさつにっき 3さつめ;12;10 Jan 2021;28 Mar 2021;LEVELS;Saetta;4-koma manga;PG-13 - Teens 13 or older;6.381;6.38;57885788;"78382

2
 ";5703;15247;16
2022;spring;Meitantei Conan;https://cdn.myanimelist.net/images/anime/7/75199.jpg;名探偵コナン;Unknown;8 Jan 1996;Unknown;Yomiuri Telecasting, Shogakukan, Audio Planning U, Tokyo Movie, Polydor Records;TMS Entertainment;Manga;PG-13 - Teens 13 or older;8.171;8.17;164198164198;"4352

2
 ";703;360471;15311
2021;winter;Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari;https://cdn.myanimelist.net/images/anime/1512/111549.jpg;たとえばラストダンジョン前の村の少年が序盤の街で暮らすような物語;12;4 Jan 2021;22 Mar 2021;AT-X, NBCUniversal Entertainment Japan, Sammy, BS11, JR East Marketing & Communications, GREE, SB Creative, Tapioca;LIDENFILMS;Light novel;PG-13 - Teens 13 or older;6.331;6.33;150006150006;"80942

2
 ";869;302743;875
2021;winter;Back Arrow;https://cdn.myanimelist.net/images/anime/1373/111546.jpg;バック・アロウ;24;9 Jan 2021;19 Jun 2021;Aniplex, Movic, BS11, ABC Animation, Legs, Bandai Spirits;Studio VOLN;Original;R+ - Mild Nudity;6.331;6.33;1430414304;"80742

2
 ";3597;43269;103
2021;winter;Seizei Ganbare! Mahou Shoujo Kurumi 3rd Season;https://cdn.myanimelist.net/images/anime/1097/108552.jpg;せいぜいがんばれ！魔法少女くるみ;25;7 Oct 2020;29 Sep 2021;Lantis;Pie in the sky;Original;G - All Ages;6.301;6.30;153153;"82712

2
 ";13185;1333;2
2021;winter;Ore dake Haireru Kakushi Dungeon;https://cdn.myanimelist.net/images/anime/1988/115708.jpg;俺だけ入れる隠しダンジョン;12;9 Jan 2021;27 Mar 2021;Mainichi Broadcasting System, Kodansha, Crunchyroll, DMM pictures, DMM Music;Okuruto Noboru;Light novel;PG-13 - Teens 13 or older;6.281;6.28;212244212244;"84082

2
 ";598;413430;1795
2022;summer;One Piece;https://cdn.myanimelist.net/images/anime/1244/138851.jpg;ONE PIECE;Unknown;20 Oct 1999;Unknown;Fuji TV, TAP, Shueisha;Toei Animation;Manga;PG-13 - Teens 13 or older;8.731;8.73;14168051416805;"502

2
 ";17;2491977;234238
2021;winter;Yu☆Gi☆Oh! Sevens;https://cdn.myanimelist.net/images/anime/1148/106883.jpg;遊☆戯☆王 SEVENS;92;4 Apr 2020;27 Mar 2022;TV Tokyo, Konami, Shueisha, Konami Cross Media NY;Bridge;Card game;PG-13 - Teens 13 or older;6.201;6.20;49084908;"88642

2
 ";5260;18794;88
2021;winter;Majutsushi Orphen Hagure Tabi: Kimluck-hen;https://cdn.myanimelist.net/images/anime/1579/113945.jpg;魔術士オーフェンはぐれ旅 キムラック編;11;20 Jan 2021;31 Mar 2021;Genco, Lantis, MediaNet Pictures;Studio Deen;Light novel;PG-13 - Teens 13 or older;6.191;6.19;87978797;"88872

2
 ";4201;31427;90
2021;winter;2.43: Seiin Koukou Danshi Volley-bu;https://cdn.myanimelist.net/images/anime/1907/110083.jpg;2.43 清陰高校男子バレー部;12;8 Jan 2021;26 Mar 2021;Aniplex, Dentsu, Animax, Movic, Fuji TV, Fujipacific Music, Shueisha, Fuji Creative, Tohan Corporation, Japan Volleyball Association;David Production;Novel;PG-13 - Teens 13 or older;6.141;6.14;4693446934;"91642

2
 ";2005;115822;359
2022;summer;Meitantei Conan;https://cdn.myanimelist.net/images/anime/7/75199.jpg;名探偵コナン;Unknown;8 Jan 1996;Unknown;Yomiuri Telecasting, Shogakukan, Audio Planning U, Tokyo Movie, Polydor Records;TMS Entertainment;Manga;PG-13 - Teens 13 or older;8.171;8.17;164198164198;"4352

2
 ";703;360471;15311
2021;winter;King's Raid: Ishi wo Tsugumono-tachi;https://cdn.myanimelist.net/images/anime/1885/109122.jpg;キングスレイド 意志を継ぐものたち;26;3 Oct 2020;27 Mar 2021;None found, add some;OLM, Sunrise Beyond;Game;PG-13 - Teens 13 or older;6.041;6.04;2138321383;"97182

2
 ";2654;74811;163
2021;winter;Boruto: Naruto Next Generations;https://cdn.myanimelist.net/images/anime/1091/99847.jpg;BORUTO -NARUTO NEXT GENERATIONS-;293;5 Apr 2017;26 Mar 2023;TV Tokyo, Aniplex, Rakuonsha, Shueisha;Pierrot;Manga;PG-13 - Teens 13 or older;6.001;6.00;456508456508;"99122

2
 ";208;894492;7375
2021;winter;Project Scard: Praeter no Kizu;https://cdn.myanimelist.net/images/anime/1239/111647.jpg;PROJECT SCARD プレイタの傷;13;9 Jan 2021;3 Apr 2021;Frontier Works, Glovision, Soranone;GoHands;Mixed media;PG-13 - Teens 13 or older;5.921;5.92;86828682;"103462

2
 ";3960;35651;145
2021;winter;Tomica Kizuna Gattai: Earth Granner;https://cdn.myanimelist.net/images/anime/1274/114349.jpg;トミカ絆合体 アースグランナー;51;5 Apr 2020;28 Mar 2021;None found, add some;OLM;Other;PG - Children;5.911;5.91;272272;"104052

2
 ";12523;1628;2
2021;winter;Wave!! Surfing Yappe!! (TV);https://cdn.myanimelist.net/images/anime/1807/113870.jpg;WAVE!!〜サーフィンやっぺ!!〜;12;12 Jan 2021;30 Mar 2021;Delfi Sound;Asahi Production;Mixed media;PG-13 - Teens 13 or older;5.861;5.86;1520915209;"106142

2
 ";3290;50792;204
2021;winter;Hortensia Saga;https://cdn.myanimelist.net/images/anime/1558/113940.jpg;オルタンシア・サーガ;12;7 Jan 2021;25 Mar 2021;Aniplex;LIDENFILMS;Game;PG-13 - Teens 13 or older;5.841;5.84;2270522705;"107422

2
 ";2676;73795;164
2021;winter;Rebirth;https://cdn.myanimelist.net/images/anime/1640/115820.jpg;りばあす;48;5 Jan 2020;23 Jun 2021;LIDENFILMS;LIDENFILMS Osaka Studio;Card game;PG-13 - Teens 13 or older;5.841;5.84;937937;"107232

2
 ";9188;4582;3
2022;fall;One Piece;https://cdn.myanimelist.net/images/anime/1244/138851.jpg;ONE PIECE;Unknown;20 Oct 1999;Unknown;Fuji TV, TAP, Shueisha;Toei Animation;Manga;PG-13 - Teens 13 or older;8.731;8.73;14168121416812;"502

2
 ";17;2491977;234239
2021;winter;Yami Shibai 8;https://cdn.myanimelist.net/images/anime/1311/110392.jpg;闇芝居 8期;13;11 Jan 2021;5 Apr 2021;TV Tokyo;ILCA, DRAWIZ, Toho Interactive Animation;Original;PG-13 - Teens 13 or older;5.821;5.82;66956695;"108352

2
 ";5523;16531;22
2021;winter;Soukou Musume Senki;https://cdn.myanimelist.net/images/anime/1532/110186.jpg;装甲娘戦機;12;7 Jan 2021;25 Mar 2021;DMM Music;Studio A-CAT;Game;PG-13 - Teens 13 or older;5.781;5.78;47584758;"110422

2
 ";5525;16519;37
2021;winter;Shadowverse;https://cdn.myanimelist.net/images/anime/1003/106498.jpg;シャドウバース;48;7 Apr 2020;23 Mar 2021;TV Tokyo, Sonilude;Zexcs;Card game;PG-13 - Teens 13 or older;5.751;5.75;51855185;"111602

2
 ";5451;17118;36
2021;winter;Bakugan: Armored Alliance;https://cdn.myanimelist.net/images/anime/1234/106364.jpg;爆丸アーマードアライアンス;52;3 Apr 2020;26 Mar 2021;None found, add some;TMS Entertainment;Original;PG - Children;5.711;5.71;17101710;"113352

2
 ";9227;4525;6
2021;winter;Okashi na Sabaku no Suna to Manu;https://cdn.myanimelist.net/images/anime/1208/111257.jpg;おかしなさばくのスナとマヌ;50;14 Feb 2021;2 Feb 2022;CHANCE iN;Kachidoki Studio;Manga;PG - Children;5.711;5.71;227227;"113232

2
 ";12330;1729;6
2021;winter;Garugaku.: Sei Girls Square Gakuin;https://cdn.myanimelist.net/images/anime/1369/117208.jpg;ガル学. ~聖ガールズスクエア学院~;50;6 Apr 2020;29 Mar 2021;None found, add some;OLM, Wit Studio;Mixed media;PG-13 - Teens 13 or older;5.611;5.61;438438;"117462

2
 ";11138;2497;5
2021;winter;WIXOSS Diva(A)Live;https://cdn.myanimelist.net/images/anime/1779/110807.jpg;WIXOSS DIVA(A)LIVE（ウィクロス ディーヴァアライブ）;12;9 Jan 2021;27 Mar 2021;None found, add some;J.C.Staff;Card game;PG-13 - Teens 13 or older;5.601;5.60;33933393;"118122

2
 ";6410;11296;20
