,Unnamed: 0,year,season,jp_title,en_title,img,Synonyms,Japanese,English,German,Spanish,French,Type,Episodes,Status,Aired,Premiered,Broadcast,Producers,Licensors,Studios,Source,Genres,Themes,Demographic,Duration,Rating,Score,Ranked,Popularity,Members,Favorites,Genre,Theme
16,16,2021,winter,Tatoeba Last Dungeon Mae no Mura no Shounen ga Joban no Machi de Kurasu Youna Monogatari,Suppose a Kid from the Last Dungeon Boonies Moved to a Starter Town?,https://cdn.myanimelist.net/images/anime/1512/111549.jpg,Last Dungeon Boonies Kid,たとえばラストダンジョン前の村の少年が序盤の街で暮らすような物語,Suppose a Kid from the Last Dungeon Boonies Moved to a Starter Town?,Ein Landei aus dem Dorf vor dem Letzten Dungeon Sucht das Abenteuer in der Stadt,,"Imagine, un Cambrousard du Dernier Donjon dans la Ville de Départ !",TV,12,Finished Airing,"Jan 4, 2021 to Mar 22, 2021",Winter 2021,Mondays at 22,"AT-X,       NBCUniversal Entertainment Japan,       Sammy,       BS11,       JR East Marketing & Communications,       GREE,       SB Creative,       Tapioca",Funimation,LIDENFILMS,Light novel,"AdventureAdventure,         ComedyComedy,         FantasyFantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"6.331 (scored by 150006150,006 users)
      


1
          indicates a weighted score.","#80942

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#869,"302,743",875,,
17,17,2021,winter,Hataraku Saibou!!,Cells at Work!!,https://cdn.myanimelist.net/images/anime/1726/114552.jpg,"Cells at Work! 2nd Season, Hataraku Saibou 2nd Season",はたらく細胞!!,Cells at Work!!,Cells at Work!,Cells at Work!,Les Brigades immunitaires,TV,8,Finished Airing,"Jan 9, 2021 to Feb 27, 2021",Winter 2021,Saturdays at 23,"Aniplex,       Kodansha,       Magic Capsule",Aniplex of America,David Production,Manga,,"AnthropomorphicAnthropomorphic,         EducationalEducational,         MedicalMedical",ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.371 (scored by 102613102,613 users)
      


1
          indicates a weighted score.","#24982

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#906,"284,701",601,ComedyComedy,
18,18,2021,winter,Log Horizon: Entaku Houkai,Log Horizon: Destruction of the Round Table,https://cdn.myanimelist.net/images/anime/1510/108026.jpg,"Log Horizon 3rd Season, Log Horizon Third Season",ログ・ホライズン 円卓崩壊,Log Horizon,Log Horizon,,Log Horizon,TV,12,Finished Airing,"Jan 13, 2021 to Mar 31, 2021",Winter 2021,Wednesdays at 19,"None found, add some",Funimation,Studio Deen,Light novel,"ActionAction,         AdventureAdventure,         FantasyFantasy","Adult CastAdult Cast,         Video GameVideo Game",,24 min. per ep.,PG-13 - Teens 13 or older,"7.071 (scored by 8929889,298 users)
      


1
          indicates a weighted score.","#40462

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1019,"256,187",647,,
19,19,2021,winter,Yuru Camp△ Season 2,Laid-Back Camp Season 2,https://cdn.myanimelist.net/images/anime/1255/110636.jpg,"Yuru Camp 2nd Season, Yurukyan",ゆるキャン△ SEASON2,Laid-Back Camp Season 2,Laid Back Camp Staffel 2,Laid-Back Camp Temporada 2,Yuru Camp – Au grand air Saison 2,TV,13,Finished Airing,"Jan 7, 2021 to Apr 1, 2021",Winter 2021,Thursdays at 23,"Half H.P Studio,       MAGES.,       DeNA","None found, add some",C-Station,Manga,,"CGDCTCGDCT,         IyashikeiIyashikei",,23 min. per ep.,PG-13 - Teens 13 or older,"8.501 (scored by 105254105,254 users)
      


1
          indicates a weighted score.","#1452

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1091,"238,832","3,105",Slice of LifeSlice of Life,
20,20,2021,winter,Hataraku Saibou Black,Cells at Work! CODE BLACK!,https://cdn.myanimelist.net/images/anime/1837/110799.jpg,,はたらく細胞BLACK,Cells at Work! CODE BLACK!,Cells at Work! Code BLACK,,Les Brigades Immunitaires BLACK,TV,13,Finished Airing,"Jan 10, 2021 to Mar 19, 2021",Winter 2021,Sundays at 00,"Aniplex,       Kodansha,       Studio Mausu,       Tokyo MX,       NetEase",Aniplex of America,LIDENFILMS,Manga,"ActionAction,         DramaDrama","AnthropomorphicAnthropomorphic,         EducationalEducational,         MedicalMedical",SeinenSeinen,23 min. per ep.,PG-13 - Teens 13 or older,"7.521 (scored by 8291882,918 users)
      


1
          indicates a weighted score.","#18892

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1111,"234,437",457,,
21,21,2021,winter,World Trigger 2nd Season,,https://cdn.myanimelist.net/images/anime/1598/110462.jpg,,ワールドトリガー,World Trigger 2nd Season,World Trigger Staffel 2,World Trigger Temporada 2,World Trigger Saison 2,TV,12,Finished Airing,"Jan 10, 2021 to Apr 4, 2021",Winter 2021,Sundays at 01,TV Asahi,"None found, add some",Toei Animation,Manga,"ActionAction,         Sci-FiSci-Fi",,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"8.051 (scored by 6277162,771 users)
      


1
          indicates a weighted score.","#5932

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1546,"162,666",812,,
22,22,2021,winter,Non Non Biyori Nonstop,,https://cdn.myanimelist.net/images/anime/1033/111540.jpg,"Non Non Biyori 3rd Season, Non Non Biyori Third Season",のんのんびより のんすとっぷ,Non Non Biyori Nonstop,,,,TV,12,Finished Airing,"Jan 11, 2021 to Mar 29, 2021",Winter 2021,Mondays at 01,"TV Tokyo,       Lantis,       AT-X,       Kadokawa,       Bandai Namco Arts,       Bit grooove promotion,       Sony Music Solutions",Sentai Filmworks,SILVER LINK.,Manga,,"CGDCTCGDCT,         IyashikeiIyashikei",SeinenSeinen,24 min. per ep.,PG-13 - Teens 13 or older,"8.361 (scored by 5058450,584 users)
      


1
          indicates a weighted score.","#2282

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1819,"131,268",959,Slice of LifeSlice of Life,
23,23,2021,winter,Urasekai Picnic,Otherside Picnic,https://cdn.myanimelist.net/images/anime/1494/111515.jpg,,裏世界ピクニック,Otherside Picnic,,,Otherside Picnic,TV,12,Finished Airing,"Jan 4, 2021 to Mar 22, 2021",Winter 2021,Mondays at 23,"Sony Pictures Entertainment,       Square Enix,       Frontier Works,       AT-X,       Hakuhodo DY Music & Pictures,       Amusement Media Academy,       BS11,       Good Smile Film,       Hayakawa Shobou",Funimation,"LIDENFILMS,       Felix Film",Novel,"AdventureAdventure,         FantasyFantasy,         MysteryMystery,         SuspenseSuspense","IsekaiIsekai,         SurvivalSurvival",,23 min. per ep.,R - 17+ (violence & profanity),"6.651 (scored by 4205242,052 users)
      


1
          indicates a weighted score.","#62152

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1865,"127,724",567,,
24,24,2021,winter,Bungou Stray Dogs Wan!,Bungo Stray Dogs Wan!,https://cdn.myanimelist.net/images/anime/1293/111430.jpg,Bunsuto Wan!,文豪ストレイドッグス わん！,Bungo Stray Dogs Wan!,Bungo Stray Dogs WAN!,Bungo Stray Dogs WAN!,Bungo Stray Dogs WAN!,TV,12,Finished Airing,"Jan 13, 2021 to Mar 31, 2021",Winter 2021,Wednesdays at 00,Kadokawa,"None found, add some","Bones,       Nomad",Web manga,,,,11 min. per ep.,PG-13 - Teens 13 or older,"7.981 (scored by 5356453,564 users)
      


1
          indicates a weighted score.","#6852

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#1882,"125,754","1,164",ComedyComedy,
25,25,2021,winter,2.43: Seiin Koukou Danshi Volley-bu,2.43: Seiin High School Boys Volleyball Team,https://cdn.myanimelist.net/images/anime/1907/110083.jpg,,2.43 清陰高校男子バレー部,2.43,2.43,,2.43,TV,12,Finished Airing,"Jan 8, 2021 to Mar 26, 2021",Winter 2021,Fridays at 00,"Aniplex,       Dentsu,       Animax,       Movic,       Fuji TV,       Fujipacific Music,       Shueisha,       Fuji Creative,       Tohan Corporation,       Japan Volleyball Association",Funimation,David Production,Novel,"DramaDrama,         SportsSports","SchoolSchool,         Team SportsTeam Sports",,23 min. per ep.,PG-13 - Teens 13 or older,"6.141 (scored by 4693446,934 users)
      


1
          indicates a weighted score.","#91642

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2005,"115,822",359,,
26,26,2021,winter,Kai Byoui Ramune,Dr. Ramune -Mysterious Disease Specialist-,https://cdn.myanimelist.net/images/anime/1443/110157.jpg,,怪病医ラムネ,Dr. Ramune -Mysterious Disease Specialist-,Dr. Ramune -Mysterious Disease Specialist-,Dr. Ramune - Mysterious Disease Specialist,Dr. Ramune -Mysterious Disease Specialist-,TV,12,Finished Airing,"Jan 10, 2021 to Mar 28, 2021",Winter 2021,Sundays at 01,"Kodansha,       KlockWorx,       King Records,       Crunchyroll,       Muse Communication","None found, add some",Platinum Vision,Manga,"MysteryMystery,         SupernaturalSupernatural",,ShounenShounen,23 min. per ep.,PG-13 - Teens 13 or older,"7.151 (scored by 3393433,934 users)
      


1
          indicates a weighted score.","#36192

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2449,"85,346",335,,MedicalMedical
27,27,2021,winter,Ex-Arm,,https://cdn.myanimelist.net/images/anime/1847/113935.jpg,,EX-ARMエクスアーム,,,,,TV,12,Finished Airing,"Jan 11, 2021 to Mar 29, 2021",Winter 2021,Mondays at 01,"Nippon Columbia,       BS Fuji,       Shueisha,       Crunchyroll,       Yomiuri TV Enterprise,       MAGNET,       Video Market,       Royal Limousine","None found, add some",Visual Flight,Manga,"ActionAction,         Sci-FiSci-Fi",,SeinenSeinen,23 min. per ep.,PG-13 - Teens 13 or older,"2.881 (scored by 4441944,419 users)
      


1
          indicates a weighted score.","#138292

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2478,"83,835",310,,
28,28,2021,winter,Tenchi Souzou Design-bu,Heaven's Design Team,https://cdn.myanimelist.net/images/anime/1339/113938.jpg,"Tenchisozo Design Bu, [Ten-De-Bu] What a strange animal!, Tendebu",天地創造デザイン部,Heaven's Design Team,Heaven's Design Team,Heaven`s Design Team,Heaven`s Design Team,TV,12,Finished Airing,"Jan 7, 2021 to Mar 25, 2021",Winter 2021,Thursdays at 23,"Dentsu,       Kodansha,       AT-X,       Studio Mausu,       BS Fuji,       Tokyo MX,       Avex Pictures,       TV Aichi","None found, add some",Asahi Production,Manga,"ComedyComedy,         FantasyFantasy","EducationalEducational,         Gag HumorGag Humor,         MythologyMythology,         WorkplaceWorkplace",SeinenSeinen,23 min. per ep.,PG-13 - Teens 13 or older,"7.161 (scored by 3394333,943 users)
      


1
          indicates a weighted score.","#35992

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2500,"82,790",308,,
29,29,2021,winter,Hortensia Saga,,https://cdn.myanimelist.net/images/anime/1558/113940.jpg,Horsaga,オルタンシア・サーガ,Hortensia SAGA,Hortensia Saga,,Hortensia Saga,TV,12,Finished Airing,"Jan 7, 2021 to Mar 25, 2021",Winter 2021,Thursdays at 00,Aniplex,Funimation,LIDENFILMS,Game,"ActionAction,         AdventureAdventure,         FantasyFantasy",,,23 min. per ep.,PG-13 - Teens 13 or older,"5.841 (scored by 2270522,705 users)
      


1
          indicates a weighted score.","#107422

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2676,"73,795",164,,
30,30,2021,winter,Idoly Pride,,https://cdn.myanimelist.net/images/anime/1025/111962.jpg,,IDOLY PRIDE,Idoly Pride,,,,TV,12,Finished Airing,"Jan 10, 2021 to Mar 28, 2021",Winter 2021,Sundays at 23,"Half H.P Studio,       F.M.F,       CyberAgent,       Wicky.Records",Funimation,Lerche,Mixed media,,"Idols (Female)Idols (Female),         MusicMusic",,23 min. per ep.,PG-13 - Teens 13 or older,"7.411 (scored by 1980219,802 users)
      


1
          indicates a weighted score.","#23112

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#2759,"70,276",570,DramaDrama,
31,31,2021,winter,Uma Musume: Pretty Derby Season 2,,https://cdn.myanimelist.net/images/anime/1447/114282.jpg,Umamusume,ウマ娘 プリティーダービー Season 2,,Umamusume,Umamusume,Umamusume,TV,13,Finished Airing,"Jan 5, 2021 to Mar 30, 2021",Winter 2021,Tuesdays at 00,"TOHO animation,       Cygames","None found, add some",Studio Kai,Game,,"AnthropomorphicAnthropomorphic,         RacingRacing",,23 min. per ep.,PG-13 - Teens 13 or older,"8.061 (scored by 2534725,347 users)
      


1
          indicates a weighted score.","#5902

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#3064,"58,147",904,SportsSports,
32,32,2021,winter,Azur Lane: Bisoku Zenshin!,Azur Lane: Slow Ahead!,https://cdn.myanimelist.net/images/anime/1137/113872.jpg,Azur Lane 4-koma,アズールレーン びそくぜんしんっ!,Azur Lane,AzurLane,Azur Lane,Azur Lane,TV,12,Finished Airing,"Jan 12, 2021 to Mar 30, 2021",Winter 2021,Tuesdays at 01,"Delfi Sound,       Yostar Pictures","None found, add some",Studio CANDY BOX,4-koma manga,"ComedyComedy,         Sci-FiSci-Fi","AnthropomorphicAnthropomorphic,         CGDCTCGDCT,         MilitaryMilitary",,8 min. per ep.,PG-13 - Teens 13 or older,"7.011 (scored by 2107321,073 users)
      


1
          indicates a weighted score.","#43482

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#3185,"53,717",254,,
33,33,2021,winter,Wave!! Surfing Yappe!! (TV),WAVE!! -Let's go surfing!!-,https://cdn.myanimelist.net/images/anime/1807/113870.jpg,,WAVE!!〜サーフィンやっぺ!!〜,WAVE!! -Let's go surfing!!-,Wave!! -Let´s go surfing!!-,Wave!! -Let´s go surfing!!-,Wave!! -Let´s go surfing!!-,TV,12,Finished Airing,"Jan 12, 2021 to Mar 30, 2021",Winter 2021,Tuesdays at 02,Delfi Sound,"None found, add some",Asahi Production,Mixed media,,,,23 min. per ep.,PG-13 - Teens 13 or older,"5.861 (scored by 1520915,209 users)
      


1
          indicates a weighted score.","#106142

2
    based on the top anime page. Please note that 'Not yet aired' and 'R18+' titles are excluded.",#3290,"50,792",204,SportsSports,
